image;age;gender;dominant_race;dominant_emotion
ChildCareWorker1.png;;;;
ChildCareWorker2.png;39.0;Woman;asian;happy
ChildCareWorker3.png;34.0;Woman;latino hispanic;sad
ChildCareWorker4.png;44.0;Man;asian;sad
ChildCareWorker5.png;46.0;Woman;black;sad
ChildCareWorker6.png;33.0;Woman;asian;neutral
ChildCareWorker7.png;;;;
ChildCareWorker8.png;36.0;Man;black;neutral
ChildCareWorker9.png;22.0;Woman;latino hispanic;happy
ChildCareWorker10.png;34.0;Woman;asian;fear
ChildCareWorker11.png;30.0;Woman;asian;happy
ChildCareWorker12.png;37.0;Woman;black;happy
ChildCareWorker13.png;42.0;Woman;asian;happy
ChildCareWorker14.png;32.0;Man;black;happy
ChildCareWorker15.png;32.0;Woman;asian;happy
ChildCareWorker16.png;30.0;Man;asian;neutral
ChildCareWorker17.png;;;;
ChildCareWorker18.png;31.0;Woman;black;happy
ChildCareWorker19.png;33.0;Woman;black;happy
ChildCareWorker20.png;32.0;Woman;middle eastern;happy
ChildCareWorker21.png;;;;
ChildCareWorker22.png;32.0;Woman;black;happy
ChildCareWorker23.png;37.0;Woman;asian;neutral
ChildCareWorker24.png;27.0;Woman;black;neutral
ChildCareWorker25.png;31.0;Woman;asian;fear
ChildCareWorker26.png;35.0;Woman;black;happy
ChildCareWorker27.png;33.0;Woman;latino hispanic;happy
ChildCareWorker28.png;39.0;Man;latino hispanic;happy
ChildCareWorker29.png;39.0;Man;black;neutral
ChildCareWorker30.png;31.0;Woman;middle eastern;happy
ChildCareWorker31.png;31.0;Woman;asian;happy
ChildCareWorker32.png;30.0;Woman;black;neutral
ChildCareWorker33.png;32.0;Woman;asian;happy
ChildCareWorker34.png;34.0;Woman;black;happy
ChildCareWorker35.png;42.0;Woman;black;happy
ChildCareWorker36.png;29.0;Man;asian;angry
ChildCareWorker37.png;33.0;Woman;black;neutral
ChildCareWorker38.png;28.0;Woman;white;happy
ChildCareWorker39.png;33.0;Woman;white;happy
ChildCareWorker40.png;33.0;Woman;black;fear
ChildCareWorker41.png;25.0;Man;latino hispanic;neutral
ChildCareWorker42.png;46.0;Woman;asian;happy
ChildCareWorker43.png;31.0;Woman;asian;neutral
ChildCareWorker44.png;33.0;Woman;black;happy
ChildCareWorker45.png;;;;
ChildCareWorker46.png;35.0;Woman;asian;sad
ChildCareWorker47.png;29.0;Man;latino hispanic;happy
ChildCareWorker48.png;;;;
ChildCareWorker49.png;40.0;Woman;asian;neutral
ChildCareWorker50.png;36.0;Woman;black;happy
ChildCareWorker51.png;33.0;Woman;black;happy
ChildCareWorker52.png;37.0;Woman;white;happy
ChildCareWorker53.png;31.0;Woman;asian;neutral
ChildCareWorker54.png;33.0;Woman;black;happy
ChildCareWorker55.png;;;;
ChildCareWorker56.png;39.0;Woman;white;happy
ChildCareWorker57.png;33.0;Man;black;happy
ChildCareWorker58.png;24.0;Woman;white;happy
ChildCareWorker59.png;43.0;Woman;white;happy
ChildCareWorker60.png;29.0;Woman;latino hispanic;neutral
ChildCareWorker61.png;37.0;Woman;black;happy
ChildCareWorker62.png;31.0;Man;black;happy
ChildCareWorker63.png;32.0;Woman;white;happy
ChildCareWorker64.png;31.0;Woman;asian;angry
ChildCareWorker65.png;34.0;Woman;asian;neutral
ChildCareWorker66.png;36.0;Woman;asian;happy
ChildCareWorker67.png;31.0;Woman;latino hispanic;happy
ChildCareWorker68.png;38.0;Woman;black;happy
ChildCareWorker69.png;21.0;Woman;white;happy
ChildCareWorker70.png;45.0;Woman;asian;neutral
ChildCareWorker71.png;33.0;Woman;asian;happy
ChildCareWorker72.png;35.0;Woman;black;happy
ChildCareWorker73.png;33.0;Woman;white;happy
ChildCareWorker74.png;32.0;Woman;black;happy
ChildCareWorker75.png;31.0;Woman;latino hispanic;happy
ChildCareWorker76.png;;;;
ChildCareWorker77.png;32.0;Woman;asian;happy
ChildCareWorker78.png;32.0;Woman;black;happy
ChildCareWorker79.png;35.0;Woman;asian;neutral
ChildCareWorker80.png;30.0;Woman;asian;happy
ChildCareWorker81.png;30.0;Woman;black;neutral
ChildCareWorker82.png;33.0;Woman;black;happy
ChildCareWorker83.png;;;;
ChildCareWorker84.png;33.0;Woman;latino hispanic;happy
ChildCareWorker85.png;32.0;Woman;asian;happy
ChildCareWorker86.png;32.0;Woman;asian;happy
ChildCareWorker87.png;32.0;Woman;asian;fear
ChildCareWorker88.png;32.0;Woman;black;angry
ChildCareWorker89.png;30.0;Woman;white;happy
ChildCareWorker90.png;30.0;Woman;asian;happy
ChildCareWorker91.png;26.0;Woman;white;happy
ChildCareWorker92.png;32.0;Woman;black;happy
ChildCareWorker93.png;33.0;Woman;asian;neutral
ChildCareWorker94.png;31.0;Woman;black;happy
ChildCareWorker95.png;33.0;Woman;black;happy
ChildCareWorker96.png;33.0;Woman;black;happy
ChildCareWorker97.png;;;;
