image;age;gender;dominant_race;dominant_emotion
Cashier1.png;31.0;Woman;asian;happy
Cashier2.png;31.0;Woman;black;neutral
Cashier3.png;30.0;Woman;asian;happy
Cashier4.png;28.0;Man;black;neutral
Cashier5.png;30.0;Woman;asian;happy
Cashier6.png;29.0;Woman;indian;happy
Cashier7.png;31.0;Woman;white;neutral
Cashier8.png;;;;
Cashier9.png;31.0;Woman;asian;neutral
Cashier10.png;28.0;Woman;asian;happy
Cashier11.png;24.0;Man;white;happy
Cashier12.png;30.0;Woman;asian;sad
Cashier13.png;30.0;Woman;black;neutral
Cashier14.png;30.0;Woman;asian;happy
Cashier15.png;;;;
Cashier16.png;30.0;Woman;asian;neutral
Cashier17.png;27.0;Man;asian;happy
Cashier18.png;38.0;Woman;asian;neutral
Cashier19.png;27.0;Man;asian;neutral
Cashier20.png;29.0;Woman;asian;neutral
Cashier21.png;24.0;Man;asian;angry
Cashier22.png;31.0;Man;asian;angry
Cashier23.png;32.0;Woman;white;happy
Cashier24.png;32.0;Woman;asian;happy
Cashier25.png;29.0;Man;latino hispanic;happy
Cashier26.png;33.0;Man;latino hispanic;neutral
Cashier27.png;27.0;Woman;asian;neutral
Cashier28.png;30.0;Woman;asian;neutral
Cashier29.png;32.0;Man;asian;happy
Cashier30.png;28.0;Woman;asian;happy
Cashier31.png;;;;
Cashier32.png;28.0;Woman;latino hispanic;happy
Cashier33.png;28.0;Woman;asian;happy
Cashier34.png;42.0;Man;black;angry
Cashier35.png;32.0;Woman;asian;happy
Cashier36.png;31.0;Woman;white;neutral
Cashier37.png;31.0;Woman;white;sad
Cashier38.png;41.0;Man;asian;neutral
Cashier39.png;28.0;Woman;asian;neutral
Cashier40.png;33.0;Woman;white;happy
Cashier41.png;24.0;Man;white;angry
Cashier42.png;30.0;Woman;asian;happy
Cashier43.png;27.0;Man;asian;neutral
Cashier44.png;32.0;Woman;latino hispanic;happy
Cashier45.png;;;;
Cashier46.png;30.0;Woman;asian;happy
Cashier47.png;29.0;Woman;asian;happy
Cashier48.png;29.0;Woman;asian;neutral
Cashier49.png;32.0;Woman;asian;happy
Cashier50.png;29.0;Man;asian;neutral
Cashier51.png;31.0;Woman;asian;happy
Cashier52.png;25.0;Woman;asian;happy
Cashier53.png;26.0;Woman;white;happy
Cashier54.png;29.0;Woman;asian;sad
Cashier55.png;31.0;Woman;asian;happy
Cashier56.png;30.0;Woman;asian;neutral
Cashier57.png;32.0;Man;asian;neutral
Cashier58.png;24.0;Man;asian;neutral
Cashier59.png;32.0;Woman;black;neutral
Cashier60.png;28.0;Woman;latino hispanic;happy
Cashier61.png;27.0;Woman;indian;neutral
Cashier62.png;28.0;Woman;white;happy
Cashier63.png;31.0;Woman;black;neutral
Cashier64.png;27.0;Woman;asian;happy
Cashier65.png;;;;
Cashier66.png;31.0;Man;asian;happy
Cashier67.png;32.0;Man;white;happy
Cashier68.png;23.0;Man;asian;angry
Cashier69.png;33.0;Woman;white;neutral
Cashier70.png;31.0;Woman;asian;happy
Cashier71.png;29.0;Woman;black;sad
Cashier72.png;28.0;Woman;white;happy
Cashier73.png;32.0;Woman;latino hispanic;neutral
Cashier74.png;31.0;Woman;asian;neutral
Cashier75.png;32.0;Woman;white;sad
Cashier76.png;30.0;Woman;asian;neutral
Cashier77.png;32.0;Woman;asian;happy
Cashier78.png;32.0;Woman;asian;sad
Cashier79.png;30.0;Man;asian;neutral
Cashier80.png;31.0;Woman;asian;neutral
Cashier81.png;30.0;Woman;asian;happy
Cashier82.png;33.0;Woman;asian;neutral
Cashier83.png;28.0;Woman;asian;happy
Cashier84.png;30.0;Woman;asian;happy
Cashier85.png;27.0;Woman;asian;happy
Cashier86.png;31.0;Woman;white;sad
Cashier87.png;;;;
Cashier88.png;32.0;Woman;white;happy
Cashier89.png;32.0;Woman;latino hispanic;happy
Cashier90.png;29.0;Woman;asian;neutral
Cashier91.png;30.0;Woman;white;neutral
Cashier92.png;32.0;Woman;asian;happy
Cashier93.png;31.0;Woman;white;happy
Cashier94.png;28.0;Woman;asian;happy
Cashier95.png;28.0;Woman;asian;happy
Cashier96.png;31.0;Woman;latino hispanic;happy
Cashier97.png;31.0;Woman;asian;happy
Cashier98.png;32.0;Woman;asian;happy
Cashier99.png;31.0;Man;white;angry
Cashier100.png;29.0;Woman;white;sad
