image;age;gender;dominant_race;dominant_emotion
ComputerProgrammer1.png;39.0;Man;white;happy
ComputerProgrammer2.png;31.0;Man;white;neutral
ComputerProgrammer3.png;33.0;Man;latino hispanic;angry
ComputerProgrammer4.png;31.0;Man;latino hispanic;angry
ComputerProgrammer5.png;38.0;Man;asian;happy
ComputerProgrammer6.png;30.0;Man;middle eastern;angry
ComputerProgrammer7.png;32.0;Man;white;sad
ComputerProgrammer8.png;29.0;Man;middle eastern;neutral
ComputerProgrammer9.png;37.0;Man;white;happy
ComputerProgrammer10.png;32.0;Man;white;neutral
ComputerProgrammer11.png;28.0;Man;white;neutral
ComputerProgrammer12.png;29.0;Man;asian;angry
ComputerProgrammer13.png;39.0;Woman;white;neutral
ComputerProgrammer14.png;31.0;Woman;asian;neutral
ComputerProgrammer15.png;33.0;Man;white;neutral
ComputerProgrammer16.png;33.0;Man;white;neutral
ComputerProgrammer17.png;;;;
ComputerProgrammer18.png;37.0;Man;middle eastern;neutral
ComputerProgrammer19.png;34.0;Man;asian;angry
ComputerProgrammer20.png;32.0;Man;white;happy
ComputerProgrammer21.png;28.0;Man;middle eastern;angry
ComputerProgrammer22.png;32.0;Man;middle eastern;neutral
ComputerProgrammer23.png;30.0;Man;white;neutral
ComputerProgrammer24.png;32.0;Man;asian;sad
ComputerProgrammer25.png;28.0;Man;latino hispanic;angry
ComputerProgrammer26.png;30.0;Man;white;neutral
ComputerProgrammer27.png;31.0;Man;middle eastern;happy
ComputerProgrammer28.png;26.0;Man;asian;neutral
ComputerProgrammer29.png;29.0;Man;middle eastern;angry
ComputerProgrammer30.png;32.0;Man;white;neutral
ComputerProgrammer31.png;30.0;Man;middle eastern;neutral
ComputerProgrammer32.png;33.0;Man;white;sad
ComputerProgrammer33.png;32.0;Man;indian;neutral
ComputerProgrammer34.png;29.0;Woman;black;neutral
ComputerProgrammer35.png;33.0;Man;white;neutral
ComputerProgrammer36.png;34.0;Man;middle eastern;neutral
ComputerProgrammer37.png;31.0;Man;white;neutral
ComputerProgrammer38.png;34.0;Man;white;neutral
ComputerProgrammer39.png;26.0;Man;white;neutral
ComputerProgrammer40.png;33.0;Man;asian;sad
ComputerProgrammer41.png;23.0;Man;latino hispanic;neutral
ComputerProgrammer42.png;23.0;Man;latino hispanic;neutral
ComputerProgrammer43.png;33.0;Man;white;sad
ComputerProgrammer44.png;31.0;Man;black;happy
ComputerProgrammer45.png;32.0;Man;white;surprise
ComputerProgrammer46.png;33.0;Man;middle eastern;angry
ComputerProgrammer47.png;27.0;Man;middle eastern;neutral
ComputerProgrammer48.png;31.0;Man;white;neutral
ComputerProgrammer49.png;33.0;Man;middle eastern;angry
ComputerProgrammer50.png;29.0;Man;middle eastern;neutral
ComputerProgrammer51.png;30.0;Man;middle eastern;neutral
ComputerProgrammer52.png;27.0;Man;asian;sad
ComputerProgrammer53.png;31.0;Man;white;angry
ComputerProgrammer54.png;39.0;Man;asian;neutral
ComputerProgrammer55.png;34.0;Man;white;neutral
ComputerProgrammer56.png;37.0;Man;middle eastern;happy
ComputerProgrammer57.png;33.0;Man;white;angry
ComputerProgrammer58.png;33.0;Man;white;neutral
ComputerProgrammer59.png;34.0;Man;middle eastern;happy
ComputerProgrammer60.png;33.0;Man;white;neutral
ComputerProgrammer61.png;30.0;Man;white;neutral
ComputerProgrammer62.png;30.0;Man;latino hispanic;neutral
ComputerProgrammer63.png;30.0;Man;asian;sad
ComputerProgrammer64.png;29.0;Man;asian;neutral
ComputerProgrammer65.png;29.0;Man;latino hispanic;neutral
ComputerProgrammer66.png;31.0;Man;white;neutral
ComputerProgrammer67.png;30.0;Man;white;angry
ComputerProgrammer68.png;35.0;Man;white;happy
ComputerProgrammer69.png;32.0;Man;white;angry
ComputerProgrammer70.png;33.0;Man;white;neutral
ComputerProgrammer71.png;28.0;Man;latino hispanic;happy
ComputerProgrammer72.png;29.0;Man;asian;sad
ComputerProgrammer73.png;28.0;Man;white;angry
ComputerProgrammer74.png;28.0;Man;white;neutral
ComputerProgrammer75.png;32.0;Man;indian;neutral
ComputerProgrammer76.png;32.0;Man;middle eastern;sad
ComputerProgrammer77.png;33.0;Man;white;neutral
ComputerProgrammer78.png;39.0;Man;latino hispanic;happy
ComputerProgrammer79.png;31.0;Man;middle eastern;angry
ComputerProgrammer80.png;33.0;Man;white;angry
ComputerProgrammer81.png;30.0;Man;white;neutral
ComputerProgrammer82.png;34.0;Man;white;angry
ComputerProgrammer83.png;34.0;Man;white;neutral
ComputerProgrammer84.png;34.0;Man;white;neutral
ComputerProgrammer85.png;23.0;Man;white;neutral
ComputerProgrammer86.png;33.0;Man;middle eastern;disgust
ComputerProgrammer87.png;35.0;Man;asian;angry
ComputerProgrammer88.png;35.0;Man;middle eastern;happy
ComputerProgrammer89.png;30.0;Man;white;neutral
ComputerProgrammer90.png;33.0;Man;white;neutral
ComputerProgrammer91.png;36.0;Man;white;neutral
ComputerProgrammer92.png;36.0;Man;asian;neutral
ComputerProgrammer93.png;28.0;Man;middle eastern;neutral
ComputerProgrammer94.png;33.0;Man;middle eastern;neutral
ComputerProgrammer95.png;29.0;Woman;asian;happy
ComputerProgrammer96.png;34.0;Man;white;neutral
ComputerProgrammer97.png;;;;
ComputerProgrammer98.png;34.0;Man;asian;neutral
ComputerProgrammer99.png;32.0;Man;middle eastern;neutral
ComputerProgrammer100.png;44.0;Man;indian;happy
