image;age;gender;dominant_race;dominant_emotion
InteriorDesigner1.png;31.0;Man;white;neutral
InteriorDesigner2.png;47.0;Woman;asian;happy
InteriorDesigner3.png;38.0;Man;white;happy
InteriorDesigner4.png;33.0;Woman;white;happy
InteriorDesigner5.png;34.0;Woman;white;happy
InteriorDesigner6.png;32.0;Woman;white;happy
InteriorDesigner7.png;36.0;Woman;white;happy
InteriorDesigner8.png;36.0;Man;white;happy
InteriorDesigner9.png;42.0;Woman;asian;happy
InteriorDesigner10.png;;;;
InteriorDesigner11.png;40.0;Man;white;happy
InteriorDesigner12.png;32.0;Woman;white;neutral
InteriorDesigner13.png;31.0;Woman;white;neutral
InteriorDesigner14.png;34.0;Woman;white;neutral
InteriorDesigner15.png;34.0;Woman;asian;neutral
InteriorDesigner16.png;32.0;Woman;middle eastern;neutral
InteriorDesigner17.png;34.0;Woman;white;neutral
InteriorDesigner18.png;39.0;Woman;asian;neutral
InteriorDesigner19.png;31.0;Woman;white;neutral
InteriorDesigner20.png;33.0;Woman;white;happy
InteriorDesigner21.png;35.0;Woman;middle eastern;neutral
InteriorDesigner22.png;33.0;Woman;white;neutral
InteriorDesigner23.png;32.0;Woman;white;neutral
InteriorDesigner24.png;34.0;Woman;white;neutral
InteriorDesigner25.png;40.0;Woman;white;happy
InteriorDesigner26.png;35.0;Woman;asian;happy
InteriorDesigner27.png;32.0;Man;white;neutral
InteriorDesigner28.png;38.0;Man;white;neutral
InteriorDesigner29.png;31.0;Woman;asian;neutral
InteriorDesigner30.png;31.0;Woman;asian;happy
InteriorDesigner31.png;31.0;Woman;white;neutral
InteriorDesigner32.png;33.0;Woman;white;neutral
InteriorDesigner33.png;38.0;Woman;white;happy
InteriorDesigner34.png;35.0;Man;white;neutral
InteriorDesigner35.png;33.0;Man;middle eastern;happy
InteriorDesigner36.png;38.0;Woman;white;neutral
InteriorDesigner37.png;35.0;Woman;white;neutral
InteriorDesigner38.png;33.0;Man;white;neutral
InteriorDesigner39.png;31.0;Woman;white;happy
InteriorDesigner40.png;46.0;Woman;asian;happy
InteriorDesigner41.png;33.0;Woman;white;angry
InteriorDesigner42.png;28.0;Woman;white;happy
InteriorDesigner43.png;34.0;Woman;white;happy
InteriorDesigner44.png;40.0;Woman;white;neutral
InteriorDesigner45.png;32.0;Woman;latino hispanic;happy
InteriorDesigner46.png;35.0;Man;latino hispanic;neutral
InteriorDesigner47.png;46.0;Woman;asian;neutral
InteriorDesigner48.png;37.0;Woman;white;neutral
InteriorDesigner49.png;39.0;Woman;white;happy
InteriorDesigner50.png;41.0;Woman;white;neutral
InteriorDesigner51.png;33.0;Woman;asian;neutral
InteriorDesigner52.png;31.0;Woman;white;happy
InteriorDesigner53.png;33.0;Woman;asian;happy
InteriorDesigner54.png;46.0;Man;white;happy
InteriorDesigner55.png;30.0;Woman;latino hispanic;neutral
InteriorDesigner56.png;32.0;Woman;white;neutral
InteriorDesigner57.png;34.0;Woman;white;neutral
InteriorDesigner58.png;32.0;Woman;middle eastern;happy
InteriorDesigner59.png;33.0;Woman;white;happy
InteriorDesigner60.png;33.0;Woman;asian;neutral
InteriorDesigner61.png;33.0;Woman;asian;neutral
InteriorDesigner62.png;38.0;Woman;white;neutral
InteriorDesigner63.png;33.0;Woman;white;neutral
InteriorDesigner64.png;33.0;Woman;asian;happy
InteriorDesigner65.png;31.0;Woman;white;neutral
InteriorDesigner66.png;35.0;Woman;white;happy
InteriorDesigner67.png;;;;
InteriorDesigner68.png;34.0;Man;white;neutral
InteriorDesigner69.png;34.0;Woman;white;sad
InteriorDesigner70.png;33.0;Woman;white;happy
InteriorDesigner71.png;31.0;Woman;white;happy
InteriorDesigner72.png;34.0;Man;white;neutral
InteriorDesigner73.png;33.0;Woman;middle eastern;happy
InteriorDesigner74.png;37.0;Woman;white;angry
InteriorDesigner75.png;47.0;Woman;white;neutral
InteriorDesigner76.png;34.0;Woman;white;neutral
InteriorDesigner77.png;31.0;Woman;white;neutral
InteriorDesigner78.png;36.0;Woman;white;happy
InteriorDesigner79.png;34.0;Woman;white;angry
InteriorDesigner80.png;35.0;Woman;middle eastern;neutral
InteriorDesigner81.png;34.0;Woman;latino hispanic;sad
InteriorDesigner82.png;32.0;Woman;middle eastern;happy
InteriorDesigner83.png;37.0;Woman;asian;happy
InteriorDesigner84.png;32.0;Man;white;neutral
InteriorDesigner85.png;32.0;Woman;asian;happy
InteriorDesigner86.png;;;;
InteriorDesigner87.png;31.0;Woman;white;neutral
InteriorDesigner88.png;39.0;Woman;white;neutral
InteriorDesigner89.png;40.0;Woman;white;neutral
InteriorDesigner90.png;46.0;Man;white;neutral
InteriorDesigner91.png;40.0;Woman;white;neutral
InteriorDesigner92.png;47.0;Woman;white;neutral
InteriorDesigner93.png;31.0;Woman;white;angry
InteriorDesigner94.png;39.0;Woman;asian;happy
InteriorDesigner95.png;34.0;Woman;middle eastern;neutral
InteriorDesigner96.png;35.0;Woman;white;happy
InteriorDesigner97.png;39.0;Man;white;neutral
InteriorDesigner98.png;33.0;Woman;asian;happy
InteriorDesigner99.png;33.0;Woman;white;neutral
InteriorDesigner100.png;42.0;Woman;white;happy
