image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
HousekeepingCleaner1.png	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner2.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner3.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner4.png	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
HousekeepingCleaner5.png	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0
HousekeepingCleaner6.png	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
HousekeepingCleaner7.png	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
HousekeepingCleaner8.png	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0
HousekeepingCleaner9.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner10.png	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
HousekeepingCleaner11.png	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
HousekeepingCleaner12.png	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0
HousekeepingCleaner13.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner14.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner15.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner16.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner17.png	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
HousekeepingCleaner18.png	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
HousekeepingCleaner19.png	1	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0
HousekeepingCleaner20.png	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
HousekeepingCleaner21.png	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner22.png	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0
HousekeepingCleaner23.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner24.png	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
HousekeepingCleaner25.png	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
HousekeepingCleaner26.png	0	0	0	1	0	2	0	0	0	0	0	2	1	0	0	0
HousekeepingCleaner27.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HousekeepingCleaner28.png	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0
HousekeepingCleaner29.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner30.png	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
HousekeepingCleaner31.png	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HousekeepingCleaner32.png	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0
HousekeepingCleaner33.png	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0
HousekeepingCleaner34.png	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
HousekeepingCleaner35.png	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
HousekeepingCleaner36.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
HousekeepingCleaner37.png	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
HousekeepingCleaner38.png	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
HousekeepingCleaner39.png	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0
HousekeepingCleaner40.png	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
HousekeepingCleaner41.png	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
HousekeepingCleaner42.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HousekeepingCleaner43.png	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
HousekeepingCleaner44.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner45.png	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0
HousekeepingCleaner46.png	1	0	1	0	0	2	0	0	0	0	0	2	5	0	0	0
HousekeepingCleaner47.png	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0
HousekeepingCleaner48.png	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
HousekeepingCleaner49.png	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0
HousekeepingCleaner50.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner51.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HousekeepingCleaner52.png	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
HousekeepingCleaner53.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HousekeepingCleaner54.png	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
HousekeepingCleaner55.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HousekeepingCleaner56.png	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0
