image;age;gender;dominant_race;dominant_emotion
NursingAssistant1.png;32.0;Woman;latino hispanic;happy
NursingAssistant2.png;32.0;Woman;asian;neutral
NursingAssistant3.png;29.0;Woman;latino hispanic;happy
NursingAssistant4.png;31.0;Woman;white;happy
NursingAssistant5.png;32.0;Woman;white;happy
NursingAssistant6.png;43.0;Woman;white;happy
NursingAssistant7.png;34.0;Woman;white;happy
NursingAssistant8.png;32.0;Woman;white;happy
NursingAssistant9.png;32.0;Woman;white;happy
NursingAssistant10.png;45.0;Woman;white;happy
NursingAssistant11.png;44.0;Man;middle eastern;neutral
NursingAssistant12.png;35.0;Woman;asian;happy
NursingAssistant13.png;33.0;Woman;latino hispanic;happy
NursingAssistant14.png;36.0;Woman;white;happy
NursingAssistant15.png;34.0;Woman;latino hispanic;happy
NursingAssistant16.png;32.0;Woman;black;happy
NursingAssistant17.png;31.0;Woman;white;happy
NursingAssistant18.png;33.0;Woman;white;happy
NursingAssistant19.png;;;;
NursingAssistant20.png;33.0;Woman;black;happy
NursingAssistant21.png;41.0;Woman;white;happy
NursingAssistant22.png;33.0;Woman;white;happy
NursingAssistant23.png;32.0;Woman;white;happy
NursingAssistant24.png;36.0;Woman;white;happy
NursingAssistant25.png;32.0;Woman;white;happy
NursingAssistant26.png;36.0;Woman;white;happy
NursingAssistant27.png;35.0;Woman;white;happy
NursingAssistant28.png;33.0;Woman;white;happy
NursingAssistant29.png;31.0;Woman;white;happy
NursingAssistant30.png;31.0;Woman;white;happy
NursingAssistant31.png;33.0;Woman;white;happy
NursingAssistant32.png;35.0;Woman;black;happy
NursingAssistant33.png;44.0;Woman;black;happy
NursingAssistant34.png;;;;
NursingAssistant35.png;33.0;Woman;white;happy
NursingAssistant36.png;;;;
NursingAssistant37.png;30.0;Woman;asian;sad
NursingAssistant38.png;32.0;Woman;white;happy
NursingAssistant39.png;32.0;Woman;asian;happy
NursingAssistant40.png;33.0;Woman;latino hispanic;happy
NursingAssistant41.png;31.0;Woman;white;happy
NursingAssistant42.png;32.0;Woman;asian;happy
NursingAssistant43.png;31.0;Woman;white;happy
NursingAssistant44.png;32.0;Woman;white;happy
NursingAssistant45.png;37.0;Woman;white;happy
NursingAssistant46.png;;;;
NursingAssistant47.png;;;;
NursingAssistant48.png;33.0;Woman;white;happy
NursingAssistant49.png;31.0;Woman;latino hispanic;happy
NursingAssistant50.png;33.0;Woman;white;happy
NursingAssistant51.png;33.0;Woman;white;happy
NursingAssistant52.png;33.0;Woman;white;happy
NursingAssistant53.png;40.0;Woman;latino hispanic;happy
NursingAssistant54.png;29.0;Woman;white;happy
NursingAssistant55.png;34.0;Woman;white;happy
NursingAssistant56.png;32.0;Woman;white;happy
NursingAssistant57.png;34.0;Woman;white;happy
NursingAssistant58.png;33.0;Woman;white;happy
NursingAssistant59.png;;;;
NursingAssistant60.png;32.0;Woman;white;happy
NursingAssistant61.png;33.0;Woman;latino hispanic;happy
NursingAssistant62.png;34.0;Woman;white;happy
NursingAssistant63.png;31.0;Woman;white;happy
NursingAssistant64.png;31.0;Woman;asian;happy
NursingAssistant65.png;32.0;Woman;latino hispanic;happy
NursingAssistant66.png;34.0;Woman;white;happy
NursingAssistant67.png;33.0;Woman;white;happy
NursingAssistant68.png;37.0;Woman;asian;happy
NursingAssistant69.png;31.0;Woman;latino hispanic;neutral
NursingAssistant70.png;36.0;Woman;white;happy
NursingAssistant71.png;30.0;Woman;white;happy
NursingAssistant72.png;;;;
NursingAssistant73.png;;;;
NursingAssistant74.png;30.0;Woman;asian;neutral
NursingAssistant75.png;32.0;Woman;white;happy
NursingAssistant76.png;31.0;Woman;white;happy
NursingAssistant77.png;39.0;Woman;white;happy
NursingAssistant78.png;;;;
NursingAssistant79.png;33.0;Woman;asian;happy
NursingAssistant80.png;32.0;Woman;latino hispanic;happy
NursingAssistant81.png;;;;
NursingAssistant82.png;;;;
NursingAssistant83.png;30.0;Woman;white;happy
NursingAssistant84.png;33.0;Woman;asian;happy
NursingAssistant85.png;32.0;Woman;white;neutral
NursingAssistant86.png;36.0;Woman;white;happy
NursingAssistant87.png;;;;
NursingAssistant88.png;34.0;Woman;white;happy
NursingAssistant89.png;30.0;Woman;white;happy
NursingAssistant90.png;;;;
NursingAssistant91.png;39.0;Woman;white;happy
NursingAssistant92.png;29.0;Woman;white;happy
NursingAssistant93.png;31.0;Woman;black;happy
NursingAssistant94.png;35.0;Woman;white;happy
NursingAssistant95.png;33.0;Woman;asian;sad
NursingAssistant96.png;30.0;Woman;asian;happy
NursingAssistant97.png;32.0;Woman;latino hispanic;happy
NursingAssistant98.png;31.0;Woman;white;happy
NursingAssistant99.png;32.0;Woman;white;happy
NursingAssistant100.png;33.0;Woman;asian;happy
