image;age;gender;dominant_race;dominant_emotion
Janitor1.png;34.0;Man;middle eastern;sad
Janitor2.png;33.0;Man;middle eastern;neutral
Janitor3.png;35.0;Man;white;neutral
Janitor4.png;42.0;Man;indian;sad
Janitor5.png;;;;
Janitor6.png;44.0;Man;indian;angry
Janitor7.png;27.0;Man;latino hispanic;neutral
Janitor8.png;;;;
Janitor9.png;43.0;Man;black;neutral
Janitor10.png;27.0;Man;middle eastern;neutral
Janitor11.png;29.0;Man;middle eastern;fear
Janitor12.png;39.0;Man;white;happy
Janitor13.png;39.0;Man;white;neutral
Janitor14.png;;;;
Janitor15.png;;;;
Janitor16.png;32.0;Man;middle eastern;angry
Janitor17.png;40.0;Man;white;neutral
Janitor18.png;32.0;Man;middle eastern;neutral
Janitor19.png;30.0;Man;black;neutral
Janitor20.png;37.0;Man;white;neutral
Janitor21.png;37.0;Man;asian;neutral
Janitor22.png;30.0;Man;middle eastern;sad
Janitor23.png;29.0;Man;latino hispanic;happy
Janitor24.png;32.0;Man;indian;sad
Janitor25.png;32.0;Man;white;neutral
Janitor26.png;30.0;Man;white;neutral
Janitor27.png;30.0;Man;asian;neutral
Janitor28.png;33.0;Man;white;sad
Janitor29.png;34.0;Man;white;neutral
Janitor30.png;32.0;Man;black;neutral
Janitor31.png;33.0;Man;middle eastern;neutral
Janitor32.png;35.0;Man;latino hispanic;fear
Janitor33.png;30.0;Man;white;sad
Janitor34.png;34.0;Man;white;neutral
Janitor35.png;;;;
Janitor36.png;33.0;Man;middle eastern;happy
Janitor37.png;32.0;Man;indian;neutral
Janitor38.png;;;;
Janitor39.png;31.0;Man;indian;neutral
Janitor40.png;40.0;Man;white;sad
Janitor41.png;34.0;Man;white;neutral
Janitor42.png;33.0;Man;asian;neutral
Janitor43.png;;;;
Janitor44.png;34.0;Man;middle eastern;neutral
Janitor45.png;32.0;Man;middle eastern;neutral
Janitor46.png;32.0;Man;middle eastern;happy
Janitor47.png;37.0;Man;white;fear
Janitor48.png;34.0;Man;middle eastern;surprise
Janitor49.png;44.0;Man;white;sad
Janitor50.png;36.0;Man;indian;neutral
Janitor51.png;31.0;Man;indian;neutral
Janitor52.png;38.0;Man;indian;neutral
Janitor53.png;;;;
Janitor54.png;29.0;Man;black;neutral
Janitor55.png;31.0;Man;white;angry
Janitor56.png;27.0;Man;white;neutral
Janitor57.png;35.0;Man;black;neutral
Janitor58.png;39.0;Man;white;sad
Janitor59.png;41.0;Man;white;neutral
Janitor60.png;;;;
Janitor61.png;24.0;Man;white;neutral
Janitor62.png;29.0;Man;black;neutral
Janitor63.png;31.0;Man;white;angry
Janitor64.png;28.0;Man;white;neutral
Janitor65.png;32.0;Man;middle eastern;neutral
Janitor66.png;39.0;Man;white;neutral
Janitor67.png;39.0;Man;latino hispanic;neutral
Janitor68.png;26.0;Man;latino hispanic;happy
Janitor69.png;45.0;Man;middle eastern;neutral
Janitor70.png;30.0;Man;indian;neutral
Janitor71.png;35.0;Man;middle eastern;angry
Janitor72.png;;;;
Janitor73.png;33.0;Man;indian;neutral
Janitor74.png;33.0;Man;asian;neutral
Janitor75.png;34.0;Man;white;angry
Janitor76.png;28.0;Man;black;neutral
Janitor77.png;35.0;Man;white;neutral
Janitor78.png;38.0;Man;white;neutral
Janitor79.png;;;;
Janitor80.png;34.0;Man;white;fear
Janitor81.png;25.0;Man;latino hispanic;neutral
Janitor82.png;29.0;Man;indian;sad
Janitor83.png;42.0;Man;white;angry
Janitor84.png;38.0;Man;white;sad
Janitor85.png;36.0;Man;indian;neutral
Janitor86.png;33.0;Man;white;happy
Janitor87.png;27.0;Man;white;neutral
Janitor88.png;30.0;Man;middle eastern;neutral
Janitor89.png;44.0;Man;latino hispanic;neutral
Janitor90.png;24.0;Man;latino hispanic;angry
Janitor91.png;44.0;Man;asian;neutral
Janitor92.png;28.0;Man;middle eastern;neutral
Janitor93.png;32.0;Man;middle eastern;happy
Janitor94.png;29.0;Man;white;angry
Janitor95.png;33.0;Man;black;angry
Janitor96.png;31.0;Man;latino hispanic;neutral
Janitor97.png;41.0;Man;latino hispanic;sad
Janitor98.png;38.0;Man;latino hispanic;neutral
Janitor99.png;36.0;Man;white;angry
Janitor100.png;;;;
