image;age;gender;dominant_race;dominant_emotion
PersonalCareAide1.png;31.0;Woman;latino hispanic;happy
PersonalCareAide2.png;31.0;Woman;asian;neutral
PersonalCareAide3.png;;;;
PersonalCareAide4.png;34.0;Woman;white;happy
PersonalCareAide5.png;30.0;Woman;black;happy
PersonalCareAide6.png;28.0;Man;middle eastern;neutral
PersonalCareAide7.png;31.0;Woman;white;happy
PersonalCareAide8.png;;;;
PersonalCareAide9.png;30.0;Woman;white;happy
PersonalCareAide10.png;32.0;Woman;white;happy
PersonalCareAide11.png;30.0;Woman;latino hispanic;happy
PersonalCareAide12.png;30.0;Woman;black;happy
PersonalCareAide13.png;32.0;Woman;white;happy
PersonalCareAide14.png;38.0;Man;white;fear
PersonalCareAide15.png;31.0;Woman;white;happy
PersonalCareAide16.png;35.0;Man;white;sad
PersonalCareAide17.png;26.0;Man;white;neutral
PersonalCareAide18.png;29.0;Man;middle eastern;happy
PersonalCareAide19.png;29.0;Woman;latino hispanic;happy
PersonalCareAide20.png;;;;
PersonalCareAide21.png;30.0;Woman;asian;happy
PersonalCareAide22.png;31.0;Woman;white;neutral
PersonalCareAide23.png;30.0;Woman;white;happy
PersonalCareAide24.png;31.0;Man;black;happy
PersonalCareAide25.png;31.0;Woman;asian;happy
PersonalCareAide26.png;31.0;Woman;latino hispanic;happy
PersonalCareAide27.png;30.0;Man;black;happy
PersonalCareAide28.png;32.0;Woman;white;happy
PersonalCareAide29.png;30.0;Woman;latino hispanic;happy
PersonalCareAide30.png;31.0;Woman;black;happy
PersonalCareAide31.png;30.0;Woman;asian;neutral
PersonalCareAide32.png;32.0;Woman;latino hispanic;happy
PersonalCareAide33.png;29.0;Woman;black;happy
PersonalCareAide34.png;30.0;Woman;white;neutral
PersonalCareAide35.png;29.0;Man;white;fear
PersonalCareAide36.png;48.0;Woman;asian;sad
PersonalCareAide37.png;31.0;Woman;asian;neutral
PersonalCareAide38.png;31.0;Woman;white;happy
PersonalCareAide39.png;26.0;Man;white;neutral
PersonalCareAide40.png;32.0;Woman;latino hispanic;happy
PersonalCareAide41.png;30.0;Woman;latino hispanic;happy
PersonalCareAide42.png;26.0;Man;black;neutral
PersonalCareAide43.png;27.0;Man;latino hispanic;fear
PersonalCareAide44.png;30.0;Woman;white;happy
PersonalCareAide45.png;29.0;Woman;asian;sad
PersonalCareAide46.png;29.0;Woman;white;neutral
PersonalCareAide47.png;31.0;Woman;white;happy
PersonalCareAide48.png;25.0;Man;white;neutral
PersonalCareAide49.png;32.0;Woman;white;neutral
PersonalCareAide50.png;30.0;Woman;asian;sad
PersonalCareAide51.png;31.0;Woman;white;happy
PersonalCareAide52.png;29.0;Woman;white;happy
PersonalCareAide53.png;31.0;Woman;white;happy
PersonalCareAide54.png;32.0;Woman;latino hispanic;happy
PersonalCareAide55.png;24.0;Man;latino hispanic;neutral
PersonalCareAide56.png;27.0;Man;latino hispanic;neutral
PersonalCareAide57.png;30.0;Woman;white;happy
PersonalCareAide58.png;;;;
PersonalCareAide59.png;29.0;Man;middle eastern;neutral
PersonalCareAide60.png;30.0;Man;black;sad
PersonalCareAide61.png;30.0;Woman;white;happy
PersonalCareAide62.png;30.0;Woman;middle eastern;happy
PersonalCareAide63.png;29.0;Woman;white;happy
PersonalCareAide64.png;30.0;Woman;black;happy
PersonalCareAide65.png;28.0;Man;white;sad
PersonalCareAide66.png;30.0;Woman;black;happy
PersonalCareAide67.png;30.0;Woman;white;neutral
PersonalCareAide68.png;27.0;Woman;white;neutral
PersonalCareAide69.png;28.0;Man;white;neutral
PersonalCareAide70.png;33.0;Man;white;happy
PersonalCareAide71.png;;;;
PersonalCareAide72.png;31.0;Man;middle eastern;neutral
PersonalCareAide73.png;31.0;Woman;latino hispanic;happy
PersonalCareAide74.png;29.0;Woman;white;happy
PersonalCareAide75.png;31.0;Woman;middle eastern;happy
PersonalCareAide76.png;31.0;Woman;white;happy
PersonalCareAide77.png;32.0;Woman;white;happy
PersonalCareAide78.png;32.0;Woman;black;happy
PersonalCareAide79.png;29.0;Man;white;fear
PersonalCareAide80.png;27.0;Man;white;sad
PersonalCareAide81.png;31.0;Woman;latino hispanic;happy
PersonalCareAide82.png;;;;
PersonalCareAide83.png;29.0;Man;white;angry
PersonalCareAide84.png;32.0;Woman;latino hispanic;happy
PersonalCareAide85.png;;;;
PersonalCareAide86.png;31.0;Man;latino hispanic;angry
PersonalCareAide87.png;;;;
PersonalCareAide88.png;31.0;Woman;white;sad
PersonalCareAide89.png;31.0;Woman;black;happy
PersonalCareAide90.png;29.0;Woman;black;happy
PersonalCareAide91.png;31.0;Woman;white;happy
PersonalCareAide92.png;30.0;Man;latino hispanic;happy
PersonalCareAide93.png;31.0;Woman;white;happy
PersonalCareAide94.png;33.0;Woman;latino hispanic;happy
PersonalCareAide95.png;30.0;Woman;white;happy
PersonalCareAide96.png;32.0;Woman;asian;happy
PersonalCareAide97.png;30.0;Woman;middle eastern;angry
PersonalCareAide98.png;;;;
PersonalCareAide99.png;26.0;Man;white;neutral
PersonalCareAide100.png;31.0;Woman;black;happy
