image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
PersonalFinancialAdvisor1.png	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor2.png	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PersonalFinancialAdvisor3.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor4.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor5.png	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor6.png	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor7.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor8.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor9.png	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0
PersonalFinancialAdvisor10.png	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PersonalFinancialAdvisor11.png	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0
PersonalFinancialAdvisor12.png	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor13.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor14.png	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor15.png	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor16.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor17.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor18.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor19.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor20.png	1	1	0	0	0	1	0	0	1	0	1	2	0	0	0	0
PersonalFinancialAdvisor21.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor22.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor23.png	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0
PersonalFinancialAdvisor24.png	1	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0
PersonalFinancialAdvisor25.png	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
PersonalFinancialAdvisor26.png	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor27.png	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PersonalFinancialAdvisor28.png	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PersonalFinancialAdvisor29.png	1	1	2	1	1	1	0	0	1	0	0	1	0	0	0	0
PersonalFinancialAdvisor30.png	1	2	1	1	0	2	0	0	1	0	0	1	0	0	0	0
PersonalFinancialAdvisor31.png	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0
PersonalFinancialAdvisor32.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor33.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor34.png	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0
PersonalFinancialAdvisor35.png	1	1	1	2	0	1	0	0	2	0	0	0	0	0	0	0
PersonalFinancialAdvisor36.png	0	2	0	1	0	3	0	0	2	0	0	1	0	0	0	0
PersonalFinancialAdvisor37.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor38.png	1	2	2	0	1	0	0	0	1	0	1	3	0	0	0	0
PersonalFinancialAdvisor39.png	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0
PersonalFinancialAdvisor40.png	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor41.png	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PersonalFinancialAdvisor42.png	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0
PersonalFinancialAdvisor43.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalFinancialAdvisor44.png	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0
PersonalFinancialAdvisor45.png	0	1	2	1	0	3	0	0	0	0	0	2	0	0	0	0
PersonalFinancialAdvisor46.png	0	2	2	0	0	2	0	0	1	0	1	1	0	0	0	0
