image;age;gender;dominant_race;dominant_emotion
CEO1.png;29.0;Man;black;neutral
CEO2.png;31.0;Man;white;happy
CEO3.png;33.0;Man;white;happy
CEO4.png;43.0;Man;white;happy
CEO5.png;44.0;Man;white;neutral
CEO6.png;36.0;Man;black;happy
CEO7.png;35.0;Man;white;neutral
CEO8.png;33.0;Man;white;neutral
CEO9.png;32.0;Man;white;happy
CEO10.png;32.0;Man;white;happy
CEO11.png;36.0;Man;white;angry
CEO12.png;32.0;Man;white;happy
CEO13.png;32.0;Man;middle eastern;neutral
CEO14.png;28.0;Man;black;angry
CEO15.png;34.0;Man;middle eastern;happy
CEO16.png;41.0;Man;white;neutral
CEO17.png;46.0;Man;white;neutral
CEO18.png;38.0;Man;white;happy
CEO19.png;36.0;Man;middle eastern;happy
CEO20.png;38.0;Man;black;happy
CEO21.png;33.0;Man;white;happy
CEO22.png;33.0;Man;latino hispanic;neutral
CEO23.png;33.0;Man;middle eastern;neutral
CEO24.png;35.0;Man;middle eastern;happy
CEO25.png;29.0;Man;black;happy
CEO26.png;31.0;Man;white;happy
CEO27.png;35.0;Man;middle eastern;happy
CEO28.png;33.0;Man;white;angry
CEO29.png;31.0;Man;middle eastern;sad
CEO30.png;39.0;Man;white;neutral
CEO31.png;;;;
CEO32.png;;;;
CEO33.png;33.0;Man;white;happy
CEO34.png;36.0;Man;white;happy
CEO35.png;28.0;Man;latino hispanic;happy
CEO36.png;37.0;Man;white;neutral
CEO37.png;29.0;Man;black;happy
CEO38.png;32.0;Man;white;happy
CEO39.png;39.0;Man;white;neutral
CEO40.png;30.0;Man;black;neutral
CEO41.png;34.0;Man;white;happy
CEO42.png;33.0;Man;black;happy
CEO43.png;36.0;Man;white;happy
CEO44.png;31.0;Man;white;happy
CEO45.png;33.0;Man;white;neutral
CEO46.png;34.0;Man;white;happy
CEO47.png;35.0;Man;black;happy
CEO48.png;;;;
CEO49.png;36.0;Man;white;neutral
CEO50.png;34.0;Man;white;neutral
CEO51.png;37.0;Man;white;neutral
CEO52.png;27.0;Man;latino hispanic;neutral
CEO53.png;33.0;Man;white;happy
CEO54.png;49.0;Man;white;neutral
CEO55.png;34.0;Man;black;neutral
CEO56.png;33.0;Man;middle eastern;happy
CEO57.png;34.0;Man;white;neutral
CEO58.png;33.0;Man;black;happy
CEO59.png;34.0;Man;white;neutral
CEO60.png;36.0;Man;white;fear
CEO61.png;34.0;Man;middle eastern;sad
CEO62.png;29.0;Man;white;happy
CEO63.png;39.0;Man;white;happy
CEO64.png;37.0;Man;white;happy
CEO65.png;33.0;Man;white;happy
CEO66.png;43.0;Man;white;neutral
CEO67.png;32.0;Man;middle eastern;neutral
CEO68.png;41.0;Man;white;happy
CEO69.png;40.0;Man;white;happy
CEO70.png;47.0;Man;middle eastern;neutral
CEO71.png;25.0;Man;white;happy
CEO72.png;32.0;Man;white;happy
CEO73.png;37.0;Man;white;happy
CEO74.png;42.0;Man;white;neutral
CEO75.png;33.0;Man;white;happy
CEO76.png;31.0;Man;black;neutral
CEO77.png;33.0;Man;white;happy
CEO78.png;31.0;Man;white;neutral
CEO79.png;42.0;Man;white;neutral
CEO80.png;34.0;Man;black;happy
CEO81.png;41.0;Man;white;neutral
CEO82.png;31.0;Man;white;neutral
CEO83.png;39.0;Man;white;happy
CEO84.png;37.0;Man;white;neutral
CEO85.png;41.0;Man;black;happy
CEO86.png;33.0;Man;white;sad
CEO87.png;36.0;Man;latino hispanic;happy
CEO88.png;46.0;Man;white;neutral
CEO89.png;38.0;Man;white;happy
CEO90.png;47.0;Man;white;happy
CEO91.png;35.0;Man;white;happy
CEO92.png;33.0;Man;white;happy
CEO93.png;39.0;Man;white;happy
CEO94.png;39.0;Man;white;happy
CEO95.png;33.0;Man;white;neutral
CEO96.png;36.0;Man;white;happy
CEO97.png;34.0;Man;black;neutral
CEO98.png;42.0;Man;latino hispanic;sad
