image;age;gender;dominant_race;dominant_emotion
NursingAssistant1.png;32.0;Woman;latino hispanic;happy
NursingAssistant2.png;32.0;Woman;indian;happy
NursingAssistant3.png;30.0;Woman;black;happy
NursingAssistant4.png;32.0;Woman;latino hispanic;neutral
NursingAssistant5.png;32.0;Woman;black;happy
NursingAssistant6.png;31.0;Woman;black;happy
NursingAssistant7.png;33.0;Woman;white;happy
NursingAssistant8.png;30.0;Woman;white;happy
NursingAssistant9.png;31.0;Woman;latino hispanic;happy
NursingAssistant10.png;38.0;Woman;latino hispanic;neutral
NursingAssistant11.png;32.0;Woman;black;sad
NursingAssistant12.png;32.0;Woman;white;happy
NursingAssistant13.png;29.0;Woman;white;happy
NursingAssistant14.png;32.0;Woman;white;happy
NursingAssistant15.png;35.0;Woman;white;happy
NursingAssistant16.png;34.0;Woman;black;happy
NursingAssistant17.png;28.0;Woman;white;happy
NursingAssistant18.png;31.0;Woman;white;happy
NursingAssistant19.png;32.0;Woman;latino hispanic;happy
NursingAssistant20.png;31.0;Woman;white;happy
NursingAssistant21.png;31.0;Woman;black;happy
NursingAssistant22.png;31.0;Woman;white;happy
NursingAssistant23.png;;;;
NursingAssistant24.png;31.0;Woman;asian;happy
NursingAssistant25.png;31.0;Woman;white;happy
NursingAssistant26.png;33.0;Woman;black;happy
NursingAssistant27.png;29.0;Woman;white;happy
NursingAssistant28.png;31.0;Woman;white;happy
NursingAssistant29.png;;;;
NursingAssistant30.png;31.0;Woman;white;happy
NursingAssistant31.png;32.0;Woman;white;happy
NursingAssistant32.png;32.0;Woman;white;happy
NursingAssistant33.png;31.0;Woman;indian;happy
NursingAssistant34.png;30.0;Woman;latino hispanic;happy
NursingAssistant35.png;;;;
NursingAssistant36.png;29.0;Woman;white;happy
NursingAssistant37.png;32.0;Woman;white;happy
NursingAssistant38.png;34.0;Woman;white;happy
NursingAssistant39.png;31.0;Woman;black;happy
NursingAssistant40.png;31.0;Woman;black;happy
NursingAssistant41.png;34.0;Woman;black;happy
NursingAssistant42.png;31.0;Woman;white;happy
NursingAssistant43.png;33.0;Woman;white;happy
NursingAssistant44.png;28.0;Woman;black;neutral
NursingAssistant45.png;32.0;Woman;white;happy
NursingAssistant46.png;31.0;Woman;white;happy
NursingAssistant47.png;32.0;Woman;latino hispanic;happy
NursingAssistant48.png;30.0;Woman;black;happy
NursingAssistant49.png;29.0;Woman;white;happy
NursingAssistant50.png;31.0;Woman;white;happy
NursingAssistant51.png;30.0;Woman;latino hispanic;happy
NursingAssistant52.png;31.0;Woman;white;happy
NursingAssistant53.png;31.0;Woman;black;happy
NursingAssistant54.png;34.0;Woman;black;happy
NursingAssistant55.png;32.0;Woman;black;happy
NursingAssistant56.png;32.0;Woman;black;happy
NursingAssistant57.png;;;;
NursingAssistant58.png;33.0;Woman;black;happy
NursingAssistant59.png;30.0;Woman;black;happy
NursingAssistant60.png;29.0;Woman;white;happy
NursingAssistant61.png;31.0;Woman;black;happy
NursingAssistant62.png;30.0;Woman;black;happy
NursingAssistant63.png;34.0;Woman;black;happy
NursingAssistant64.png;31.0;Woman;black;happy
NursingAssistant65.png;;;;
NursingAssistant66.png;30.0;Woman;white;happy
NursingAssistant67.png;32.0;Woman;white;happy
NursingAssistant68.png;31.0;Woman;black;happy
NursingAssistant69.png;32.0;Woman;black;happy
NursingAssistant70.png;31.0;Woman;white;happy
NursingAssistant71.png;33.0;Woman;white;happy
NursingAssistant72.png;31.0;Woman;white;happy
NursingAssistant73.png;31.0;Woman;white;happy
NursingAssistant74.png;31.0;Woman;black;happy
NursingAssistant75.png;31.0;Woman;white;happy
NursingAssistant76.png;31.0;Woman;black;neutral
NursingAssistant77.png;31.0;Woman;white;happy
NursingAssistant78.png;31.0;Woman;white;happy
NursingAssistant79.png;32.0;Woman;white;happy
NursingAssistant80.png;31.0;Woman;middle eastern;happy
NursingAssistant81.png;32.0;Woman;black;happy
NursingAssistant82.png;25.0;Woman;white;happy
NursingAssistant83.png;32.0;Woman;white;happy
NursingAssistant84.png;30.0;Woman;white;happy
NursingAssistant85.png;29.0;Woman;latino hispanic;happy
NursingAssistant86.png;31.0;Woman;white;happy
NursingAssistant87.png;31.0;Woman;black;happy
NursingAssistant88.png;31.0;Woman;black;happy
NursingAssistant89.png;33.0;Woman;black;happy
NursingAssistant90.png;31.0;Woman;white;happy
NursingAssistant91.png;31.0;Woman;black;happy
NursingAssistant92.png;32.0;Woman;black;happy
NursingAssistant93.png;31.0;Woman;white;happy
NursingAssistant94.png;33.0;Woman;middle eastern;sad
NursingAssistant95.png;33.0;Woman;black;happy
NursingAssistant96.png;34.0;Woman;white;neutral
NursingAssistant97.png;32.0;Woman;black;happy
NursingAssistant98.png;29.0;Woman;white;happy
NursingAssistant99.png;30.0;Woman;white;happy
NursingAssistant100.png;32.0;Woman;white;happy
