image;age;gender;dominant_race;dominant_emotion
Janitor1.png;46.0;Man;middle eastern;happy
Janitor2.png;32.0;Man;latino hispanic;sad
Janitor3.png;43.0;Man;middle eastern;neutral
Janitor4.png;35.0;Man;middle eastern;happy
Janitor5.png;37.0;Man;latino hispanic;neutral
Janitor6.png;33.0;Man;white;neutral
Janitor7.png;34.0;Man;middle eastern;neutral
Janitor8.png;40.0;Man;latino hispanic;neutral
Janitor9.png;48.0;Man;latino hispanic;neutral
Janitor10.png;27.0;Man;black;happy
Janitor11.png;33.0;Man;middle eastern;happy
Janitor12.png;51.0;Man;white;neutral
Janitor13.png;39.0;Man;middle eastern;happy
Janitor14.png;33.0;Man;white;neutral
Janitor15.png;33.0;Man;latino hispanic;neutral
Janitor16.png;37.0;Man;middle eastern;angry
Janitor17.png;46.0;Man;middle eastern;neutral
Janitor18.png;34.0;Man;white;neutral
Janitor19.png;31.0;Man;white;neutral
Janitor20.png;41.0;Man;white;happy
Janitor21.png;47.0;Man;middle eastern;happy
Janitor22.png;47.0;Man;white;sad
Janitor23.png;36.0;Man;white;happy
Janitor24.png;34.0;Man;white;happy
Janitor25.png;29.0;Man;middle eastern;neutral
Janitor26.png;31.0;Man;latino hispanic;neutral
Janitor27.png;32.0;Man;white;happy
Janitor28.png;29.0;Man;black;happy
Janitor29.png;27.0;Man;black;neutral
Janitor30.png;42.0;Man;middle eastern;neutral
Janitor31.png;46.0;Man;middle eastern;happy
Janitor32.png;51.0;Man;middle eastern;neutral
Janitor33.png;35.0;Man;middle eastern;neutral
Janitor34.png;33.0;Man;middle eastern;happy
Janitor35.png;34.0;Man;latino hispanic;happy
Janitor36.png;33.0;Man;white;happy
Janitor37.png;36.0;Man;white;neutral
Janitor38.png;43.0;Man;black;happy
Janitor39.png;35.0;Man;middle eastern;neutral
Janitor40.png;28.0;Man;latino hispanic;happy
Janitor41.png;44.0;Man;middle eastern;happy
Janitor42.png;33.0;Man;indian;angry
Janitor43.png;43.0;Man;middle eastern;neutral
Janitor44.png;35.0;Man;white;sad
Janitor45.png;49.0;Man;white;neutral
Janitor46.png;42.0;Man;white;neutral
Janitor47.png;34.0;Man;black;neutral
Janitor48.png;34.0;Man;white;happy
Janitor49.png;33.0;Man;white;happy
Janitor50.png;39.0;Man;white;happy
Janitor51.png;29.0;Man;middle eastern;neutral
Janitor52.png;43.0;Man;middle eastern;neutral
Janitor53.png;44.0;Man;middle eastern;neutral
Janitor54.png;44.0;Man;white;neutral
Janitor55.png;40.0;Man;black;neutral
Janitor56.png;50.0;Man;middle eastern;neutral
Janitor57.png;32.0;Man;black;neutral
Janitor58.png;39.0;Man;black;neutral
Janitor59.png;35.0;Man;black;happy
Janitor60.png;35.0;Man;middle eastern;happy
Janitor61.png;31.0;Man;black;neutral
Janitor62.png;42.0;Man;white;neutral
Janitor63.png;43.0;Man;middle eastern;angry
Janitor64.png;34.0;Man;white;happy
Janitor65.png;35.0;Man;white;happy
Janitor66.png;33.0;Man;black;angry
Janitor67.png;38.0;Man;middle eastern;neutral
Janitor68.png;32.0;Man;white;happy
Janitor69.png;50.0;Man;middle eastern;angry
Janitor70.png;41.0;Man;white;happy
Janitor71.png;47.0;Man;black;happy
Janitor72.png;32.0;Man;white;neutral
Janitor73.png;39.0;Man;indian;neutral
Janitor74.png;31.0;Man;white;neutral
Janitor75.png;35.0;Man;white;happy
Janitor76.png;28.0;Man;white;neutral
Janitor77.png;30.0;Man;middle eastern;happy
Janitor78.png;34.0;Man;middle eastern;neutral
Janitor79.png;40.0;Man;latino hispanic;neutral
Janitor80.png;40.0;Man;white;happy
Janitor81.png;37.0;Man;white;happy
Janitor82.png;43.0;Man;white;happy
Janitor83.png;42.0;Man;black;neutral
Janitor84.png;34.0;Man;middle eastern;neutral
Janitor85.png;30.0;Man;indian;happy
Janitor86.png;33.0;Man;white;neutral
Janitor87.png;34.0;Man;middle eastern;happy
Janitor88.png;36.0;Man;middle eastern;angry
Janitor89.png;29.0;Man;black;neutral
Janitor90.png;;;;
Janitor91.png;;;;
Janitor92.png;41.0;Man;white;happy
Janitor93.png;41.0;Man;middle eastern;happy
Janitor94.png;39.0;Man;middle eastern;neutral
Janitor95.png;33.0;Man;white;neutral
Janitor96.png;37.0;Man;middle eastern;happy
Janitor97.png;33.0;Man;middle eastern;neutral
Janitor98.png;37.0;Man;black;neutral
Janitor99.png;32.0;Man;latino hispanic;happy
Janitor100.png;32.0;Man;middle eastern;happy
