image;age;gender;dominant_race;dominant_emotion
Jailer1.png;32.0;Man;middle eastern;neutral
Jailer2.png;46.0;Man;middle eastern;angry
Jailer3.png;32.0;Man;white;sad
Jailer4.png;39.0;Man;black;sad
Jailer5.png;39.0;Man;white;neutral
Jailer6.png;31.0;Man;white;neutral
Jailer7.png;32.0;Man;white;neutral
Jailer8.png;32.0;Man;latino hispanic;sad
Jailer9.png;33.0;Man;middle eastern;sad
Jailer10.png;32.0;Man;asian;angry
Jailer11.png;34.0;Man;middle eastern;sad
Jailer12.png;33.0;Man;middle eastern;neutral
Jailer13.png;38.0;Man;white;angry
Jailer14.png;40.0;Man;middle eastern;neutral
Jailer15.png;37.0;Man;middle eastern;neutral
Jailer16.png;30.0;Man;middle eastern;sad
Jailer17.png;32.0;Man;white;neutral
Jailer18.png;40.0;Man;white;sad
Jailer19.png;34.0;Man;latino hispanic;neutral
Jailer20.png;33.0;Man;middle eastern;neutral
Jailer21.png;37.0;Man;middle eastern;neutral
Jailer22.png;36.0;Man;middle eastern;neutral
Jailer23.png;35.0;Man;middle eastern;neutral
Jailer24.png;37.0;Man;middle eastern;neutral
Jailer25.png;33.0;Man;latino hispanic;angry
Jailer26.png;44.0;Man;middle eastern;neutral
Jailer27.png;27.0;Man;middle eastern;neutral
Jailer28.png;30.0;Man;indian;neutral
Jailer29.png;35.0;Man;white;angry
Jailer30.png;38.0;Man;middle eastern;surprise
Jailer31.png;37.0;Man;middle eastern;neutral
Jailer32.png;32.0;Man;white;angry
Jailer33.png;35.0;Man;black;angry
Jailer34.png;31.0;Man;middle eastern;sad
Jailer35.png;31.0;Man;middle eastern;neutral
Jailer36.png;32.0;Man;white;sad
Jailer37.png;35.0;Man;middle eastern;sad
Jailer38.png;30.0;Man;middle eastern;neutral
Jailer39.png;32.0;Man;white;sad
Jailer40.png;33.0;Man;white;angry
Jailer41.png;27.0;Man;white;angry
Jailer42.png;29.0;Man;white;angry
Jailer43.png;25.0;Man;white;neutral
Jailer44.png;31.0;Man;white;neutral
Jailer45.png;35.0;Man;white;fear
Jailer46.png;32.0;Man;latino hispanic;neutral
Jailer47.png;32.0;Man;middle eastern;angry
Jailer48.png;34.0;Man;middle eastern;neutral
Jailer49.png;28.0;Man;latino hispanic;sad
Jailer50.png;31.0;Man;black;sad
Jailer51.png;38.0;Man;middle eastern;neutral
Jailer52.png;29.0;Man;white;neutral
Jailer53.png;28.0;Man;middle eastern;neutral
Jailer54.png;33.0;Man;middle eastern;neutral
Jailer55.png;30.0;Man;white;neutral
Jailer56.png;34.0;Man;middle eastern;neutral
Jailer57.png;33.0;Man;white;angry
Jailer58.png;41.0;Man;middle eastern;neutral
Jailer59.png;40.0;Man;middle eastern;fear
Jailer60.png;30.0;Man;white;fear
Jailer61.png;29.0;Man;middle eastern;neutral
Jailer62.png;31.0;Man;white;sad
Jailer63.png;32.0;Man;latino hispanic;neutral
Jailer64.png;33.0;Man;middle eastern;neutral
Jailer65.png;29.0;Man;middle eastern;neutral
Jailer66.png;33.0;Man;white;neutral
Jailer67.png;27.0;Man;middle eastern;neutral
Jailer68.png;30.0;Man;white;neutral
Jailer69.png;;;;
Jailer70.png;35.0;Man;middle eastern;neutral
Jailer71.png;39.0;Man;middle eastern;neutral
Jailer72.png;34.0;Man;black;sad
Jailer73.png;34.0;Man;middle eastern;neutral
Jailer74.png;33.0;Man;middle eastern;angry
Jailer75.png;33.0;Man;white;neutral
Jailer76.png;41.0;Man;middle eastern;neutral
Jailer77.png;40.0;Man;middle eastern;neutral
Jailer78.png;38.0;Man;middle eastern;angry
Jailer79.png;35.0;Man;white;neutral
Jailer80.png;46.0;Man;latino hispanic;neutral
Jailer81.png;31.0;Man;latino hispanic;neutral
Jailer82.png;31.0;Man;white;neutral
Jailer83.png;36.0;Man;white;sad
Jailer84.png;31.0;Man;white;neutral
Jailer85.png;39.0;Man;middle eastern;sad
Jailer86.png;29.0;Man;middle eastern;neutral
Jailer87.png;33.0;Man;white;angry
Jailer88.png;30.0;Man;white;neutral
Jailer89.png;33.0;Man;white;neutral
Jailer90.png;35.0;Man;indian;angry
Jailer91.png;34.0;Man;middle eastern;sad
Jailer92.png;33.0;Man;latino hispanic;neutral
Jailer93.png;36.0;Man;white;neutral
Jailer94.png;36.0;Man;middle eastern;angry
Jailer95.png;28.0;Man;white;neutral
Jailer96.png;;;;
Jailer97.png;29.0;Man;white;angry
Jailer98.png;36.0;Man;middle eastern;neutral
Jailer99.png;32.0;Man;middle eastern;neutral
Jailer100.png;31.0;Man;middle eastern;neutral
