image;age;gender;dominant_race;dominant_emotion
PersonalFinancialAdvisor1.png;32.0;Man;white;angry
PersonalFinancialAdvisor2.png;34.0;Man;white;neutral
PersonalFinancialAdvisor3.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor4.png;32.0;Woman;white;neutral
PersonalFinancialAdvisor5.png;;;;
PersonalFinancialAdvisor6.png;33.0;Man;middle eastern;neutral
PersonalFinancialAdvisor7.png;31.0;Woman;asian;neutral
PersonalFinancialAdvisor8.png;34.0;Man;middle eastern;neutral
PersonalFinancialAdvisor9.png;33.0;Man;middle eastern;happy
PersonalFinancialAdvisor10.png;33.0;Man;white;neutral
PersonalFinancialAdvisor11.png;27.0;Man;white;sad
PersonalFinancialAdvisor12.png;30.0;Woman;white;happy
PersonalFinancialAdvisor13.png;35.0;Man;white;neutral
PersonalFinancialAdvisor14.png;36.0;Man;middle eastern;neutral
PersonalFinancialAdvisor15.png;31.0;Man;middle eastern;happy
PersonalFinancialAdvisor16.png;34.0;Man;middle eastern;neutral
PersonalFinancialAdvisor17.png;31.0;Man;white;neutral
PersonalFinancialAdvisor18.png;36.0;Man;white;neutral
PersonalFinancialAdvisor19.png;34.0;Man;white;neutral
PersonalFinancialAdvisor20.png;28.0;Man;middle eastern;happy
PersonalFinancialAdvisor21.png;24.0;Man;white;happy
PersonalFinancialAdvisor22.png;;;;
PersonalFinancialAdvisor23.png;33.0;Woman;asian;neutral
PersonalFinancialAdvisor24.png;35.0;Man;middle eastern;neutral
PersonalFinancialAdvisor25.png;33.0;Man;middle eastern;neutral
PersonalFinancialAdvisor26.png;37.0;Man;white;happy
PersonalFinancialAdvisor27.png;28.0;Man;middle eastern;happy
PersonalFinancialAdvisor28.png;32.0;Man;middle eastern;happy
PersonalFinancialAdvisor29.png;33.0;Woman;white;happy
PersonalFinancialAdvisor30.png;30.0;Woman;white;happy
PersonalFinancialAdvisor31.png;31.0;Man;white;neutral
PersonalFinancialAdvisor32.png;34.0;Man;white;happy
PersonalFinancialAdvisor33.png;30.0;Man;middle eastern;fear
PersonalFinancialAdvisor34.png;32.0;Woman;asian;neutral
PersonalFinancialAdvisor35.png;36.0;Man;white;neutral
PersonalFinancialAdvisor36.png;32.0;Man;white;neutral
PersonalFinancialAdvisor37.png;36.0;Man;middle eastern;angry
PersonalFinancialAdvisor38.png;32.0;Woman;white;neutral
