image;age;gender;dominant_race;dominant_emotion
Jailer1.png;;;;
Jailer2.png;30.0;Man;middle eastern;neutral
Jailer3.png;34.0;Man;middle eastern;neutral
Jailer4.png;25.0;Man;middle eastern;neutral
Jailer5.png;30.0;Man;white;neutral
Jailer6.png;31.0;Man;indian;happy
Jailer7.png;28.0;Man;white;neutral
Jailer8.png;29.0;Man;white;neutral
Jailer9.png;28.0;Man;asian;sad
Jailer10.png;32.0;Man;middle eastern;neutral
Jailer11.png;36.0;Man;white;neutral
Jailer12.png;32.0;Man;white;sad
Jailer13.png;;;;
Jailer14.png;32.0;Man;middle eastern;neutral
Jailer15.png;36.0;Man;middle eastern;neutral
Jailer16.png;35.0;Man;white;neutral
Jailer17.png;32.0;Man;black;neutral
Jailer18.png;33.0;Man;white;neutral
Jailer19.png;34.0;Man;latino hispanic;neutral
Jailer20.png;33.0;Man;white;angry
Jailer21.png;32.0;Man;middle eastern;neutral
Jailer22.png;28.0;Man;indian;neutral
Jailer23.png;35.0;Woman;white;sad
Jailer24.png;30.0;Man;middle eastern;neutral
Jailer25.png;28.0;Man;white;happy
Jailer26.png;31.0;Man;white;neutral
Jailer27.png;27.0;Man;middle eastern;neutral
Jailer28.png;35.0;Man;middle eastern;angry
Jailer29.png;35.0;Man;middle eastern;neutral
Jailer30.png;32.0;Man;white;neutral
Jailer31.png;32.0;Man;black;neutral
Jailer32.png;35.0;Man;white;fear
Jailer33.png;30.0;Man;indian;neutral
Jailer34.png;50.0;Man;white;sad
Jailer35.png;;;;
Jailer36.png;;;;
Jailer37.png;33.0;Man;middle eastern;neutral
Jailer38.png;28.0;Man;indian;neutral
Jailer39.png;;;;
Jailer40.png;32.0;Man;middle eastern;sad
Jailer41.png;29.0;Man;white;angry
Jailer42.png;23.0;Man;white;angry
Jailer43.png;28.0;Man;white;neutral
Jailer44.png;34.0;Man;white;neutral
Jailer45.png;37.0;Man;asian;neutral
Jailer46.png;29.0;Man;middle eastern;neutral
Jailer47.png;33.0;Man;middle eastern;fear
Jailer48.png;33.0;Man;middle eastern;neutral
Jailer49.png;34.0;Man;indian;sad
Jailer50.png;31.0;Man;middle eastern;neutral
Jailer51.png;32.0;Man;black;fear
Jailer52.png;31.0;Man;middle eastern;neutral
Jailer53.png;33.0;Man;middle eastern;neutral
Jailer54.png;32.0;Man;middle eastern;neutral
Jailer55.png;;;;
Jailer56.png;38.0;Man;middle eastern;neutral
Jailer57.png;26.0;Man;asian;neutral
Jailer58.png;;;;
Jailer59.png;29.0;Man;white;angry
Jailer60.png;36.0;Man;indian;sad
Jailer61.png;34.0;Man;white;angry
Jailer62.png;30.0;Man;black;neutral
Jailer63.png;39.0;Man;white;fear
Jailer64.png;23.0;Man;white;neutral
Jailer65.png;33.0;Man;indian;sad
Jailer66.png;39.0;Man;white;neutral
Jailer67.png;25.0;Man;middle eastern;sad
Jailer68.png;42.0;Man;white;sad
Jailer69.png;28.0;Man;white;neutral
Jailer70.png;;;;
Jailer71.png;29.0;Man;middle eastern;neutral
Jailer72.png;44.0;Man;white;angry
Jailer73.png;25.0;Man;white;neutral
Jailer74.png;37.0;Man;white;sad
Jailer75.png;29.0;Man;middle eastern;neutral
Jailer76.png;29.0;Man;white;sad
Jailer77.png;;;;
Jailer78.png;;;;
Jailer79.png;;;;
Jailer80.png;33.0;Man;middle eastern;neutral
Jailer81.png;28.0;Man;middle eastern;angry
Jailer82.png;32.0;Man;middle eastern;neutral
Jailer83.png;;;;
Jailer84.png;33.0;Man;indian;neutral
Jailer85.png;36.0;Man;white;neutral
Jailer86.png;;;;
Jailer87.png;32.0;Man;latino hispanic;neutral
Jailer88.png;;;;
Jailer89.png;;;;
Jailer90.png;26.0;Woman;middle eastern;sad
Jailer91.png;30.0;Man;white;neutral
Jailer92.png;32.0;Man;latino hispanic;neutral
Jailer93.png;34.0;Man;middle eastern;angry
Jailer94.png;31.0;Man;white;neutral
Jailer95.png;;;;
Jailer96.png;;;;
Jailer97.png;29.0;Man;white;neutral
Jailer98.png;28.0;Man;middle eastern;sad
Jailer99.png;32.0;Man;indian;sad
Jailer100.png;34.0;Man;black;neutral
