image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
ComputerProgrammer1.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer2.png	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
ComputerProgrammer3.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer4.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer5.png	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
ComputerProgrammer6.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer7.png	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer8.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer9.png	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer10.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0
ComputerProgrammer11.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer12.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer13.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer14.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer15.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer16.png	0	0	0	1	0	1	0	0	0	0	0	2	0	0	2	0
ComputerProgrammer17.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer18.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer19.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer20.png	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer21.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer22.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer23.png	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer24.png	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer25.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer26.png	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer27.png	1	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0
ComputerProgrammer28.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer29.png	0	0	0	1	0	3	0	0	0	0	0	2	0	0	2	0
ComputerProgrammer30.png	1	0	1	0	2	0	0	0	0	0	0	1	0	0	2	0
ComputerProgrammer31.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer32.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer33.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer34.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer35.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer36.png	1	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer37.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
ComputerProgrammer38.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer39.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer40.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer41.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer42.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer43.png	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer44.png	1	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer45.png	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer46.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer47.png	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer48.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer49.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer50.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer51.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer52.png	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer53.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer54.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer55.png	0	0	0	0	0	2	0	1	0	0	0	1	0	0	3	0
ComputerProgrammer56.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer57.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ComputerProgrammer58.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer59.png	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer60.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer61.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer62.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer63.png	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0
ComputerProgrammer64.png	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer65.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer66.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer67.png	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0
ComputerProgrammer68.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer69.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer70.png	1	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0
ComputerProgrammer71.png	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
ComputerProgrammer72.png	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer73.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer74.png	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
ComputerProgrammer75.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer76.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer77.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer78.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
ComputerProgrammer79.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer80.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer81.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer82.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer83.png	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0
ComputerProgrammer84.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ComputerProgrammer85.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer86.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ComputerProgrammer87.png	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
ComputerProgrammer88.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer89.png	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ComputerProgrammer90.png	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
