image;age;gender;dominant_race;dominant_emotion
cashier1.png;30.0;Woman;asian;happy
cashier2.png;32.0;Woman;white;happy
cashier3.png;30.0;Woman;asian;happy
cashier4.png;31.0;Woman;asian;happy
cashier5.png;31.0;Woman;asian;happy
cashier6.png;30.0;Woman;latino hispanic;happy
cashier7.png;30.0;Woman;latino hispanic;happy
cashier8.png;25.0;Woman;asian;happy
cashier9.png;21.0;Man;middle eastern;happy
cashier10.png;29.0;Woman;white;happy
cashier11.png;30.0;Woman;white;happy
cashier12.png;;;;
cashier13.png;28.0;Woman;latino hispanic;happy
cashier14.png;28.0;Woman;middle eastern;happy
cashier15.png;28.0;Woman;white;happy
cashier16.png;30.0;Woman;asian;happy
cashier17.png;31.0;Woman;black;happy
cashier18.png;28.0;Woman;asian;happy
cashier19.png;;;;
cashier20.png;18.0;Woman;middle eastern;happy
cashier21.png;28.0;Woman;latino hispanic;happy
cashier22.png;29.0;Woman;latino hispanic;happy
cashier23.png;27.0;Man;white;neutral
cashier24.png;31.0;Woman;middle eastern;happy
cashier25.png;31.0;Woman;white;happy
cashier26.png;30.0;Woman;latino hispanic;happy
cashier27.png;;;;
cashier28.png;29.0;Woman;asian;happy
cashier29.png;27.0;Woman;latino hispanic;happy
cashier30.png;26.0;Woman;asian;happy
cashier31.png;21.0;Man;latino hispanic;happy
cashier32.png;30.0;Woman;asian;happy
cashier33.png;28.0;Woman;latino hispanic;happy
cashier34.png;29.0;Woman;asian;happy
cashier35.png;28.0;Woman;asian;happy
cashier36.png;28.0;Woman;indian;happy
cashier37.png;29.0;Woman;indian;happy
cashier38.png;29.0;Woman;latino hispanic;happy
cashier39.png;31.0;Woman;white;happy
cashier40.png;29.0;Woman;middle eastern;happy
cashier41.png;29.0;Woman;latino hispanic;happy
cashier42.png;29.0;Woman;latino hispanic;happy
cashier43.png;29.0;Woman;latino hispanic;happy
cashier44.png;30.0;Woman;asian;happy
cashier45.png;31.0;Woman;middle eastern;happy
cashier46.png;29.0;Woman;indian;happy
cashier47.png;28.0;Woman;white;happy
cashier48.png;28.0;Woman;middle eastern;happy
cashier49.png;30.0;Woman;middle eastern;happy
cashier50.png;29.0;Woman;white;happy
cashier51.png;28.0;Woman;asian;happy
cashier52.png;29.0;Woman;white;happy
cashier53.png;26.0;Woman;indian;happy
cashier54.png;30.0;Woman;asian;happy
cashier55.png;29.0;Woman;asian;happy
cashier56.png;30.0;Woman;asian;happy
cashier57.png;29.0;Woman;middle eastern;happy
cashier58.png;30.0;Woman;asian;happy
cashier59.png;;;;
cashier60.png;30.0;Woman;latino hispanic;happy
cashier61.png;;;;
cashier62.png;;;;
cashier63.png;30.0;Woman;asian;happy
cashier64.png;31.0;Woman;latino hispanic;happy
cashier65.png;28.0;Woman;asian;happy
cashier66.png;30.0;Woman;latino hispanic;happy
cashier67.png;26.0;Woman;latino hispanic;happy
cashier68.png;31.0;Woman;latino hispanic;happy
cashier69.png;29.0;Woman;latino hispanic;happy
cashier70.png;30.0;Woman;latino hispanic;happy
cashier71.png;27.0;Woman;asian;happy
cashier72.png;28.0;Woman;latino hispanic;happy
cashier73.png;30.0;Woman;asian;happy
cashier74.png;28.0;Woman;latino hispanic;happy
cashier75.png;29.0;Woman;middle eastern;happy
cashier76.png;31.0;Woman;middle eastern;happy
cashier77.png;23.0;Man;middle eastern;happy
cashier78.png;27.0;Woman;white;happy
cashier79.png;32.0;Woman;asian;happy
cashier80.png;29.0;Woman;asian;happy
cashier81.png;28.0;Woman;latino hispanic;happy
cashier82.png;30.0;Woman;black;happy
cashier83.png;28.0;Woman;latino hispanic;happy
cashier84.png;29.0;Woman;asian;happy
cashier85.png;28.0;Woman;latino hispanic;happy
cashier86.png;29.0;Woman;asian;happy
cashier87.png;24.0;Man;middle eastern;happy
cashier88.png;27.0;Woman;latino hispanic;happy
cashier89.png;29.0;Woman;asian;happy
cashier90.png;;;;
cashier91.png;28.0;Woman;asian;happy
cashier92.png;28.0;Woman;asian;happy
cashier93.png;;;;
cashier94.png;28.0;Woman;latino hispanic;happy
cashier95.png;30.0;Woman;asian;happy
cashier96.png;31.0;Woman;middle eastern;happy
cashier97.png;28.0;Woman;latino hispanic;happy
cashier98.png;31.0;Woman;asian;happy
cashier99.png;30.0;Woman;latino hispanic;happy
cashier100.png;27.0;Woman;indian;happy
cashier101.png;30.0;Woman;asian;happy
cashier102.png;31.0;Woman;asian;happy
cashier103.png;29.0;Woman;latino hispanic;happy
cashier104.png;30.0;Woman;white;happy
