image	glasses	tie	book	laptop	phone	chair	table	bag	watch	uniform	pen	desk	gloves	apron	monitor	clipboard
InteriorDesigner1.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner2.png	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
InteriorDesigner3.png	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
InteriorDesigner4.png	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
InteriorDesigner5.png	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
InteriorDesigner6.png	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0
InteriorDesigner7.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner8.png	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
InteriorDesigner9.png	0	0	1	0	0	4	0	0	0	0	0	2	0	0	0	0
InteriorDesigner10.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner11.png	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
InteriorDesigner12.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner13.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner14.png	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
InteriorDesigner15.png	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0
InteriorDesigner16.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
InteriorDesigner17.png	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
InteriorDesigner18.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner19.png	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
InteriorDesigner20.png	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
InteriorDesigner21.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner22.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner23.png	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
InteriorDesigner24.png	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
InteriorDesigner25.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner26.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner27.png	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner28.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner29.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner30.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner31.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner32.png	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0
InteriorDesigner33.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
InteriorDesigner34.png	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
InteriorDesigner35.png	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
InteriorDesigner36.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
InteriorDesigner37.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner38.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
InteriorDesigner39.png	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0
InteriorDesigner40.png	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0
InteriorDesigner41.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner42.png	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
InteriorDesigner43.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
InteriorDesigner44.png	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
InteriorDesigner45.png	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
InteriorDesigner46.png	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0
InteriorDesigner47.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner48.png	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0
InteriorDesigner49.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
InteriorDesigner50.png	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
InteriorDesigner51.png	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
InteriorDesigner52.png	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0
InteriorDesigner53.png	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
InteriorDesigner54.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner55.png	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0
InteriorDesigner56.png	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
InteriorDesigner57.png	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
InteriorDesigner58.png	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
InteriorDesigner59.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner60.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner61.png	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0
InteriorDesigner62.png	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
InteriorDesigner63.png	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner64.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
InteriorDesigner65.png	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
InteriorDesigner66.png	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
InteriorDesigner67.png	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner68.png	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
InteriorDesigner69.png	0	0	1	0	0	3	0	0	0	0	0	4	0	0	0	0
InteriorDesigner70.png	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
InteriorDesigner71.png	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
InteriorDesigner72.png	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
InteriorDesigner73.png	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
InteriorDesigner74.png	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
InteriorDesigner75.png	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
InteriorDesigner76.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InteriorDesigner77.png	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
