image;age;gender;dominant_race;dominant_emotion
Lawyer1.png;44.0;Man;white;neutral
Lawyer2.png;27.0;Man;middle eastern;neutral
Lawyer3.png;38.0;Man;white;neutral
Lawyer4.png;27.0;Man;white;neutral
Lawyer5.png;28.0;Man;middle eastern;neutral
Lawyer6.png;36.0;Man;middle eastern;neutral
Lawyer7.png;32.0;Woman;latino hispanic;fear
Lawyer8.png;32.0;Woman;latino hispanic;neutral
Lawyer9.png;29.0;Man;middle eastern;neutral
Lawyer10.png;34.0;Man;white;neutral
Lawyer11.png;33.0;Man;middle eastern;neutral
Lawyer12.png;28.0;Man;white;sad
Lawyer13.png;39.0;Man;white;sad
Lawyer14.png;27.0;Man;white;neutral
Lawyer15.png;35.0;Man;middle eastern;neutral
Lawyer16.png;34.0;Woman;latino hispanic;neutral
Lawyer17.png;38.0;Man;white;neutral
Lawyer18.png;32.0;Man;middle eastern;neutral
Lawyer19.png;33.0;Woman;white;neutral
Lawyer20.png;31.0;Woman;white;neutral
Lawyer21.png;46.0;Man;white;neutral
Lawyer22.png;30.0;Woman;white;neutral
Lawyer23.png;36.0;Woman;white;angry
Lawyer24.png;33.0;Man;white;neutral
Lawyer25.png;32.0;Woman;white;happy
Lawyer26.png;31.0;Man;white;neutral
Lawyer27.png;34.0;Man;middle eastern;neutral
Lawyer28.png;40.0;Man;white;neutral
Lawyer29.png;30.0;Woman;white;neutral
Lawyer30.png;38.0;Man;middle eastern;angry
Lawyer31.png;30.0;Man;middle eastern;neutral
Lawyer32.png;38.0;Man;white;neutral
Lawyer33.png;32.0;Woman;white;neutral
Lawyer34.png;29.0;Man;white;neutral
Lawyer35.png;38.0;Man;middle eastern;neutral
Lawyer36.png;;;;
Lawyer37.png;34.0;Woman;white;angry
Lawyer38.png;27.0;Man;white;happy
Lawyer39.png;;;;
Lawyer40.png;32.0;Woman;white;happy
Lawyer41.png;37.0;Man;middle eastern;angry
Lawyer42.png;31.0;Man;white;neutral
Lawyer43.png;33.0;Woman;middle eastern;fear
Lawyer44.png;34.0;Man;white;neutral
Lawyer45.png;45.0;Man;middle eastern;neutral
Lawyer46.png;31.0;Man;latino hispanic;neutral
Lawyer47.png;41.0;Man;white;neutral
Lawyer48.png;42.0;Man;latino hispanic;neutral
Lawyer49.png;31.0;Man;white;fear
Lawyer50.png;36.0;Man;white;neutral
Lawyer51.png;33.0;Man;white;neutral
Lawyer52.png;44.0;Man;middle eastern;neutral
Lawyer53.png;38.0;Man;white;neutral
Lawyer54.png;33.0;Man;white;neutral
Lawyer55.png;36.0;Man;white;neutral
Lawyer56.png;33.0;Man;middle eastern;angry
Lawyer57.png;;;;
Lawyer58.png;35.0;Man;asian;sad
Lawyer59.png;33.0;Woman;asian;neutral
Lawyer60.png;48.0;Man;white;sad
Lawyer61.png;49.0;Man;middle eastern;neutral
Lawyer62.png;29.0;Man;latino hispanic;neutral
Lawyer63.png;50.0;Man;middle eastern;neutral
Lawyer64.png;30.0;Man;middle eastern;neutral
Lawyer65.png;33.0;Woman;white;neutral
Lawyer66.png;33.0;Woman;white;neutral
Lawyer67.png;40.0;Man;white;angry
Lawyer68.png;35.0;Man;white;happy
Lawyer69.png;31.0;Man;latino hispanic;neutral
Lawyer70.png;33.0;Woman;white;neutral
Lawyer71.png;40.0;Man;latino hispanic;neutral
Lawyer72.png;47.0;Man;middle eastern;neutral
Lawyer73.png;31.0;Woman;white;neutral
Lawyer74.png;32.0;Man;white;neutral
Lawyer75.png;43.0;Man;asian;neutral
Lawyer76.png;38.0;Man;white;sad
Lawyer77.png;34.0;Man;white;happy
Lawyer78.png;33.0;Man;white;neutral
Lawyer79.png;42.0;Man;white;neutral
Lawyer80.png;36.0;Man;white;angry
Lawyer81.png;31.0;Man;white;neutral
Lawyer82.png;41.0;Man;white;neutral
Lawyer83.png;36.0;Man;white;angry
Lawyer84.png;33.0;Man;white;neutral
Lawyer85.png;40.0;Man;white;neutral
Lawyer86.png;35.0;Man;middle eastern;happy
Lawyer87.png;31.0;Man;white;angry
Lawyer88.png;33.0;Man;white;neutral
Lawyer89.png;32.0;Woman;white;happy
Lawyer90.png;31.0;Woman;middle eastern;neutral
Lawyer91.png;33.0;Man;white;neutral
Lawyer92.png;31.0;Man;middle eastern;angry
Lawyer93.png;41.0;Man;middle eastern;neutral
Lawyer94.png;29.0;Man;white;neutral
Lawyer95.png;45.0;Man;white;neutral
Lawyer96.png;47.0;Man;middle eastern;angry
Lawyer97.png;35.0;Woman;white;happy
Lawyer98.png;26.0;Man;middle eastern;angry
Lawyer99.png;26.0;Man;white;neutral
Lawyer100.png;30.0;Woman;white;neutral
