image;age;gender;dominant_race;dominant_emotion
Lawyer1.png;30.0;Woman;white;neutral
Lawyer2.png;33.0;Man;middle eastern;sad
Lawyer3.png;32.0;Man;middle eastern;neutral
Lawyer4.png;27.0;Man;middle eastern;neutral
Lawyer5.png;28.0;Man;white;neutral
Lawyer6.png;27.0;Man;middle eastern;neutral
Lawyer7.png;29.0;Man;middle eastern;neutral
Lawyer8.png;28.0;Woman;white;neutral
Lawyer9.png;32.0;Man;middle eastern;surprise
Lawyer10.png;30.0;Man;white;neutral
Lawyer11.png;;;;
Lawyer12.png;30.0;Man;white;neutral
Lawyer13.png;35.0;Man;white;neutral
Lawyer14.png;29.0;Man;middle eastern;neutral
Lawyer15.png;33.0;Man;middle eastern;neutral
Lawyer16.png;31.0;Man;white;neutral
Lawyer17.png;33.0;Man;white;neutral
Lawyer18.png;26.0;Man;middle eastern;neutral
Lawyer19.png;38.0;Man;middle eastern;neutral
Lawyer20.png;31.0;Man;middle eastern;neutral
Lawyer21.png;27.0;Man;white;neutral
Lawyer22.png;;;;
Lawyer23.png;28.0;Man;middle eastern;neutral
Lawyer24.png;33.0;Man;middle eastern;neutral
Lawyer25.png;31.0;Man;middle eastern;happy
Lawyer26.png;28.0;Man;middle eastern;neutral
Lawyer27.png;29.0;Man;middle eastern;happy
Lawyer28.png;31.0;Man;white;neutral
Lawyer29.png;25.0;Man;white;neutral
Lawyer30.png;32.0;Man;middle eastern;happy
Lawyer31.png;31.0;Man;latino hispanic;neutral
Lawyer32.png;32.0;Man;white;neutral
Lawyer33.png;;;;
Lawyer34.png;28.0;Man;middle eastern;happy
Lawyer35.png;26.0;Man;middle eastern;happy
Lawyer36.png;28.0;Man;white;neutral
Lawyer37.png;33.0;Man;middle eastern;neutral
Lawyer38.png;32.0;Man;middle eastern;neutral
Lawyer39.png;29.0;Man;middle eastern;neutral
Lawyer40.png;33.0;Man;middle eastern;neutral
Lawyer41.png;22.0;Man;white;neutral
Lawyer42.png;29.0;Man;middle eastern;neutral
Lawyer43.png;27.0;Man;latino hispanic;neutral
Lawyer44.png;30.0;Man;middle eastern;neutral
Lawyer45.png;27.0;Man;middle eastern;happy
Lawyer46.png;29.0;Man;middle eastern;neutral
Lawyer47.png;32.0;Man;white;neutral
Lawyer48.png;28.0;Man;white;neutral
Lawyer49.png;31.0;Man;white;angry
Lawyer50.png;30.0;Man;middle eastern;angry
Lawyer51.png;25.0;Man;middle eastern;happy
Lawyer52.png;29.0;Man;middle eastern;neutral
Lawyer53.png;32.0;Man;middle eastern;neutral
Lawyer54.png;30.0;Man;middle eastern;happy
Lawyer55.png;29.0;Man;white;neutral
Lawyer56.png;27.0;Man;middle eastern;neutral
Lawyer57.png;31.0;Man;middle eastern;neutral
Lawyer58.png;27.0;Man;latino hispanic;neutral
Lawyer59.png;27.0;Man;middle eastern;neutral
Lawyer60.png;24.0;Man;middle eastern;neutral
Lawyer61.png;29.0;Man;middle eastern;neutral
Lawyer62.png;;;;
Lawyer63.png;29.0;Man;middle eastern;neutral
Lawyer64.png;;;;
Lawyer65.png;28.0;Man;white;neutral
Lawyer66.png;;;;
Lawyer67.png;;;;
Lawyer68.png;28.0;Man;white;neutral
Lawyer69.png;25.0;Man;white;neutral
Lawyer70.png;26.0;Man;middle eastern;neutral
Lawyer71.png;29.0;Man;middle eastern;neutral
Lawyer72.png;31.0;Man;middle eastern;sad
Lawyer73.png;27.0;Man;middle eastern;happy
Lawyer74.png;29.0;Man;middle eastern;neutral
Lawyer75.png;30.0;Man;middle eastern;neutral
Lawyer76.png;28.0;Man;middle eastern;neutral
Lawyer77.png;33.0;Man;white;neutral
Lawyer78.png;30.0;Man;middle eastern;neutral
Lawyer79.png;33.0;Man;middle eastern;neutral
Lawyer80.png;26.0;Man;white;neutral
Lawyer81.png;26.0;Man;middle eastern;neutral
Lawyer82.png;31.0;Man;middle eastern;neutral
Lawyer83.png;32.0;Man;middle eastern;neutral
Lawyer84.png;32.0;Man;middle eastern;neutral
Lawyer85.png;32.0;Man;middle eastern;angry
Lawyer86.png;;;;
Lawyer87.png;;;;
Lawyer88.png;27.0;Man;middle eastern;neutral
Lawyer89.png;33.0;Man;middle eastern;neutral
Lawyer90.png;25.0;Man;middle eastern;neutral
Lawyer91.png;34.0;Man;white;fear
Lawyer92.png;27.0;Man;white;neutral
Lawyer93.png;24.0;Man;latino hispanic;neutral
Lawyer94.png;33.0;Man;middle eastern;neutral
Lawyer95.png;28.0;Man;middle eastern;neutral
Lawyer96.png;25.0;Man;middle eastern;neutral
Lawyer97.png;28.0;Man;latino hispanic;neutral
Lawyer98.png;28.0;Man;white;neutral
Lawyer99.png;27.0;Man;middle eastern;neutral
Lawyer100.png;25.0;Man;latino hispanic;neutral
