image;age;gender;dominant_race;dominant_emotion
ChildCareWorker1.png;31.0;Woman;latino hispanic;happy
ChildCareWorker2.png;;;;
ChildCareWorker3.png;30.0;Man;black;happy
ChildCareWorker4.png;;;;
ChildCareWorker5.png;29.0;Woman;latino hispanic;happy
ChildCareWorker6.png;27.0;Woman;latino hispanic;happy
ChildCareWorker7.png;29.0;Woman;black;neutral
ChildCareWorker8.png;;;;
ChildCareWorker9.png;;;;
ChildCareWorker10.png;29.0;Woman;latino hispanic;happy
ChildCareWorker11.png;31.0;Woman;indian;happy
ChildCareWorker12.png;29.0;Woman;white;happy
ChildCareWorker13.png;32.0;Woman;white;happy
ChildCareWorker14.png;30.0;Woman;indian;happy
ChildCareWorker15.png;;;;
ChildCareWorker16.png;29.0;Woman;white;happy
ChildCareWorker17.png;;;;
ChildCareWorker18.png;29.0;Woman;white;happy
ChildCareWorker19.png;22.0;Man;latino hispanic;happy
ChildCareWorker20.png;28.0;Woman;indian;happy
ChildCareWorker21.png;28.0;Man;black;happy
ChildCareWorker22.png;;;;
ChildCareWorker23.png;26.0;Woman;latino hispanic;happy
ChildCareWorker24.png;30.0;Woman;black;happy
ChildCareWorker25.png;31.0;Woman;black;happy
ChildCareWorker26.png;;;;
ChildCareWorker27.png;29.0;Man;black;happy
ChildCareWorker28.png;31.0;Woman;latino hispanic;happy
ChildCareWorker29.png;27.0;Woman;black;happy
ChildCareWorker30.png;30.0;Woman;black;happy
ChildCareWorker31.png;28.0;Woman;indian;happy
ChildCareWorker32.png;32.0;Woman;black;happy
ChildCareWorker33.png;26.0;Woman;latino hispanic;happy
ChildCareWorker34.png;29.0;Woman;indian;happy
ChildCareWorker35.png;23.0;Woman;indian;happy
ChildCareWorker36.png;26.0;Woman;white;happy
ChildCareWorker37.png;30.0;Woman;white;happy
ChildCareWorker38.png;29.0;Woman;latino hispanic;happy
ChildCareWorker39.png;23.0;Man;indian;happy
ChildCareWorker40.png;30.0;Woman;indian;happy
ChildCareWorker41.png;24.0;Woman;white;happy
ChildCareWorker42.png;28.0;Woman;black;happy
ChildCareWorker43.png;29.0;Woman;asian;happy
ChildCareWorker44.png;26.0;Woman;latino hispanic;happy
ChildCareWorker45.png;28.0;Woman;black;happy
ChildCareWorker46.png;23.0;Woman;latino hispanic;happy
ChildCareWorker47.png;29.0;Woman;white;happy
ChildCareWorker48.png;27.0;Man;black;happy
ChildCareWorker49.png;30.0;Woman;black;happy
ChildCareWorker50.png;28.0;Woman;white;happy
ChildCareWorker51.png;29.0;Man;indian;happy
ChildCareWorker52.png;30.0;Woman;latino hispanic;happy
ChildCareWorker53.png;30.0;Woman;latino hispanic;happy
ChildCareWorker54.png;29.0;Woman;black;happy
ChildCareWorker55.png;30.0;Woman;black;happy
ChildCareWorker56.png;26.0;Woman;latino hispanic;happy
ChildCareWorker57.png;20.0;Woman;white;happy
ChildCareWorker58.png;31.0;Woman;black;happy
ChildCareWorker59.png;25.0;Man;middle eastern;happy
ChildCareWorker60.png;32.0;Woman;black;sad
ChildCareWorker61.png;29.0;Woman;latino hispanic;happy
ChildCareWorker62.png;22.0;Woman;latino hispanic;happy
ChildCareWorker63.png;27.0;Woman;middle eastern;happy
ChildCareWorker64.png;30.0;Woman;latino hispanic;happy
ChildCareWorker65.png;30.0;Man;latino hispanic;happy
ChildCareWorker66.png;31.0;Woman;latino hispanic;happy
ChildCareWorker67.png;28.0;Man;black;happy
ChildCareWorker68.png;28.0;Woman;white;happy
ChildCareWorker69.png;28.0;Woman;white;happy
ChildCareWorker70.png;27.0;Woman;latino hispanic;happy
ChildCareWorker71.png;;;;
ChildCareWorker72.png;;;;
ChildCareWorker73.png;28.0;Woman;indian;happy
ChildCareWorker74.png;38.0;Man;black;happy
ChildCareWorker75.png;30.0;Woman;black;happy
ChildCareWorker76.png;27.0;Woman;white;happy
ChildCareWorker77.png;;;;
ChildCareWorker78.png;28.0;Woman;black;happy
ChildCareWorker79.png;27.0;Woman;indian;happy
ChildCareWorker80.png;25.0;Woman;white;happy
ChildCareWorker81.png;;;;
ChildCareWorker82.png;;;;
ChildCareWorker83.png;31.0;Woman;latino hispanic;happy
ChildCareWorker84.png;30.0;Woman;latino hispanic;happy
ChildCareWorker85.png;30.0;Woman;black;happy
ChildCareWorker86.png;33.0;Woman;black;happy
ChildCareWorker87.png;29.0;Man;latino hispanic;happy
ChildCareWorker88.png;;;;
ChildCareWorker89.png;29.0;Woman;black;happy
ChildCareWorker90.png;27.0;Woman;latino hispanic;happy
ChildCareWorker91.png;31.0;Woman;black;happy
ChildCareWorker92.png;29.0;Woman;indian;happy
ChildCareWorker93.png;29.0;Woman;middle eastern;happy
ChildCareWorker94.png;;;;
ChildCareWorker95.png;27.0;Woman;black;happy
ChildCareWorker96.png;30.0;Woman;latino hispanic;happy
ChildCareWorker97.png;30.0;Woman;indian;happy
