image;age;gender;dominant_race;dominant_emotion
ComputerProgrammer1.png;27.0;Man;indian;happy
ComputerProgrammer2.png;23.0;Man;middle eastern;neutral
ComputerProgrammer3.png;24.0;Man;middle eastern;neutral
ComputerProgrammer4.png;24.0;Man;middle eastern;neutral
ComputerProgrammer5.png;26.0;Man;middle eastern;neutral
ComputerProgrammer6.png;26.0;Man;latino hispanic;neutral
ComputerProgrammer7.png;31.0;Man;white;neutral
ComputerProgrammer8.png;23.0;Man;white;neutral
ComputerProgrammer9.png;24.0;Man;middle eastern;neutral
ComputerProgrammer10.png;24.0;Man;middle eastern;neutral
ComputerProgrammer11.png;25.0;Man;latino hispanic;neutral
ComputerProgrammer12.png;26.0;Man;middle eastern;neutral
ComputerProgrammer13.png;28.0;Man;asian;neutral
ComputerProgrammer14.png;26.0;Man;middle eastern;sad
ComputerProgrammer15.png;24.0;Man;white;sad
ComputerProgrammer16.png;25.0;Man;white;neutral
ComputerProgrammer17.png;25.0;Man;latino hispanic;neutral
ComputerProgrammer18.png;26.0;Man;white;neutral
ComputerProgrammer19.png;21.0;Man;white;neutral
ComputerProgrammer20.png;28.0;Man;white;neutral
ComputerProgrammer21.png;27.0;Man;indian;neutral
ComputerProgrammer22.png;24.0;Man;white;neutral
ComputerProgrammer23.png;23.0;Man;latino hispanic;neutral
ComputerProgrammer24.png;31.0;Man;middle eastern;happy
ComputerProgrammer25.png;25.0;Man;latino hispanic;neutral
ComputerProgrammer26.png;31.0;Man;middle eastern;neutral
ComputerProgrammer27.png;28.0;Man;white;angry
ComputerProgrammer28.png;27.0;Man;middle eastern;neutral
ComputerProgrammer29.png;28.0;Man;white;happy
ComputerProgrammer30.png;;;;
ComputerProgrammer31.png;23.0;Man;asian;neutral
ComputerProgrammer32.png;29.0;Man;latino hispanic;neutral
ComputerProgrammer33.png;24.0;Man;middle eastern;neutral
ComputerProgrammer34.png;29.0;Man;middle eastern;neutral
ComputerProgrammer35.png;32.0;Man;white;angry
ComputerProgrammer36.png;28.0;Man;latino hispanic;neutral
ComputerProgrammer37.png;;;;
ComputerProgrammer38.png;26.0;Man;middle eastern;happy
ComputerProgrammer39.png;27.0;Man;middle eastern;neutral
ComputerProgrammer40.png;26.0;Man;latino hispanic;neutral
ComputerProgrammer41.png;25.0;Man;latino hispanic;neutral
ComputerProgrammer42.png;26.0;Man;middle eastern;neutral
ComputerProgrammer43.png;27.0;Man;asian;neutral
ComputerProgrammer44.png;26.0;Man;middle eastern;neutral
ComputerProgrammer45.png;26.0;Man;latino hispanic;neutral
ComputerProgrammer46.png;26.0;Man;white;neutral
ComputerProgrammer47.png;26.0;Man;white;neutral
ComputerProgrammer48.png;26.0;Man;white;neutral
ComputerProgrammer49.png;27.0;Man;white;neutral
ComputerProgrammer50.png;24.0;Man;white;neutral
ComputerProgrammer51.png;31.0;Man;white;neutral
ComputerProgrammer52.png;31.0;Man;middle eastern;neutral
ComputerProgrammer53.png;27.0;Man;indian;neutral
ComputerProgrammer54.png;22.0;Man;white;neutral
ComputerProgrammer55.png;25.0;Man;white;neutral
ComputerProgrammer56.png;25.0;Man;latino hispanic;neutral
ComputerProgrammer57.png;24.0;Man;asian;neutral
ComputerProgrammer58.png;24.0;Man;latino hispanic;neutral
ComputerProgrammer59.png;27.0;Man;middle eastern;neutral
ComputerProgrammer60.png;21.0;Man;white;neutral
ComputerProgrammer61.png;28.0;Man;latino hispanic;neutral
ComputerProgrammer62.png;24.0;Man;middle eastern;neutral
ComputerProgrammer63.png;24.0;Man;latino hispanic;neutral
ComputerProgrammer64.png;26.0;Man;white;neutral
ComputerProgrammer65.png;22.0;Man;middle eastern;neutral
ComputerProgrammer66.png;24.0;Man;indian;neutral
ComputerProgrammer67.png;25.0;Man;indian;neutral
ComputerProgrammer68.png;26.0;Man;middle eastern;neutral
ComputerProgrammer69.png;27.0;Man;white;neutral
ComputerProgrammer70.png;29.0;Man;latino hispanic;neutral
ComputerProgrammer71.png;28.0;Man;white;neutral
ComputerProgrammer72.png;25.0;Man;latino hispanic;neutral
ComputerProgrammer73.png;28.0;Man;middle eastern;happy
ComputerProgrammer74.png;26.0;Man;white;neutral
ComputerProgrammer75.png;26.0;Man;middle eastern;neutral
ComputerProgrammer76.png;25.0;Man;middle eastern;neutral
ComputerProgrammer77.png;29.0;Man;middle eastern;neutral
ComputerProgrammer78.png;26.0;Man;latino hispanic;neutral
ComputerProgrammer79.png;24.0;Man;middle eastern;neutral
ComputerProgrammer80.png;29.0;Man;indian;neutral
ComputerProgrammer81.png;22.0;Man;white;neutral
ComputerProgrammer82.png;26.0;Man;latino hispanic;neutral
ComputerProgrammer83.png;28.0;Man;middle eastern;neutral
ComputerProgrammer84.png;27.0;Man;latino hispanic;neutral
ComputerProgrammer85.png;26.0;Man;latino hispanic;neutral
ComputerProgrammer86.png;29.0;Man;middle eastern;neutral
ComputerProgrammer87.png;29.0;Man;latino hispanic;neutral
ComputerProgrammer88.png;27.0;Man;latino hispanic;neutral
ComputerProgrammer89.png;27.0;Man;white;neutral
ComputerProgrammer90.png;31.0;Man;indian;angry
ComputerProgrammer91.png;25.0;Man;middle eastern;neutral
ComputerProgrammer92.png;30.0;Man;indian;angry
ComputerProgrammer93.png;24.0;Man;white;angry
ComputerProgrammer94.png;26.0;Man;asian;neutral
ComputerProgrammer95.png;27.0;Man;middle eastern;neutral
ComputerProgrammer96.png;21.0;Man;middle eastern;neutral
ComputerProgrammer97.png;34.0;Man;latino hispanic;neutral
ComputerProgrammer98.png;25.0;Man;indian;neutral
ComputerProgrammer99.png;26.0;Man;middle eastern;neutral
ComputerProgrammer100.png;26.0;Man;white;neutral
